primary_lifestyle	total_ave_contrib_percent	total_ave_relabun_nat	total_ave_relabun_farm	log2FC	significant
algal_parasite	0.00807920559374818	0.0161584111874963	0	-7.34504247031714	Not significant
animal_parasite	0.45831129913626	0.809389505846407	0.107233092426112	-2.91491742815344	Not significant
arbuscular_mycorrhizal	0.00881367882954347	0.0117515717727246	0.0058757858863623	-0.987878042025674	Not significant
arthropod-associated	0.00146894647159058	0	0.00293789294318115	4.9249991243511	Not significant
dung_saprotroph	1.03381188345052	1.69369528174393	0.465656031494212	-1.86261315868113	Natural
ectomycorrhizal	0.00587578588636232	0.010282625301134	0.00146894647159058	-2.72630324559117	Not significant
foliar_endophyte	0.0308478759034022	0.0558199659204419	0.0058757858863623	-3.22616311937973	Not significant
litter_saprotroph	1.37126153122981	0.755038486397555	1.98748457606205	1.39620309890615	Farm
mycoparasite	0.00587578588636232	0.0117515717727246	0	-6.88893459390611	Not significant
plant_pathogen	7.91778469814784	4.51260356072626	15.0948939420648	1.74200626165836	Farm
pollen_saprotroph	0.00734473235795289	0	0.0146894647159058	7.20842602681729	Not significant
protistan_parasite	0.00514131265056702	0.010282625301134	0	-6.69802747258813	Not significant
root_endophyte	0.0719783771079383	0.142487807744286	0.00146894647159058	-6.50591068419548	Not significant
soil_saprotroph	7.71425400369524	8.99582819202068	7.16552088841882	-0.328180428286332	Not significant
sooty_mold	0.0212997238380634	0.0425994476761267	0	-8.73807359826062	Not significant
unassigned	29.2759399625264	40.1551207473991	19.8954110112226	-1.01314461595598	Natural
unspecified_pathotroph	0.0110170985369293	0.0220341970738586	0	-7.79013322986637	Not significant
unspecified_saprotroph	10.1413616154494	3.98672072389682	17.3791057053881	2.12405150913491	Farm
wood_saprotroph	3.16223371264796	4.83136494506141	1.54533168811329	-1.64445080900131	Natural
