average	sd	ratio	ava	avb	cumsum	p
Fung_ASV1	0.0418407857884327	0.0679477784519368	0.615778569096693	2.03889770256772	7.42728714965627	0.0446824384660874	0.017
Fung_ASV2	0.032869897043174	0.0723033218653252	0.454611160250682	6.54415653093601	0.0505317586227158	0.0797847226211878	0.005
Fung_ASV5	0.016693727924999	0.0191499299434421	0.871738328772097	0.571713966743052	3.36418120923674	0.0976122193261991	0.001
Fung_ASV3	0.0159903963544013	0.0191216894473436	0.836243910269273	0.252071214524943	3.397673188789	0.114688617096707	0.001
Fung_ASV7	0.0140739761443093	0.04296926013772	0.32753591984598	2.81479522886186	0	0.129718439342902	0.001
Fung_ASV10	0.0132146424584288	0.0298163015484985	0.4432019322361	2.63528997003349	0.0376050296727187	0.143830565522505	0.001
Fung_ASV13	0.0122601210411893	0.0175594417231133	0.698206767305791	0.0270286150772666	2.46224807568012	0.156923343148139	0.001
Fung_ASV8	0.0121942795960071	0.0206835418731735	0.589564382675822	1.75186556201892	1.05205946295317	0.169945807650645	0.283
Fung_ASV12	0.011868140836059	0.0301580984944191	0.393530806932515	0.3211116986897	2.40260884893355	0.182619983400965	0.001
Fung_ASV4	0.0101198986753367	0.00896223350823746	1.12917150239783	1.77771901991891	1.73276925788824	0.193427183632103	0.192
Fung_ASV9	0.00975400043089097	0.0127454188412836	0.765294617019324	0.60785004994418	1.83236382866208	0.203843635327233	0.005
Fung_ASV11	0.00910443230115358	0.0113541372291334	0.80186033667029	0.380457136141959	1.83559551089958	0.213566402918692	0.001
Fung_ASV14	0.0089825423872666	0.0158817461414319	0.565589092488589	1.80210353134732	0.0749162700511193	0.22315900233873	0.001
Fung_ASV6	0.0085404874290825	0.00797628908177422	1.07073444073102	1.33997297138492	2.03713496680181	0.232279524260808	0.011
Fung_ASV18	0.00829452050322845	0.0149348403757507	0.55538059293195	1.50214466184852	0.440390152182854	0.241137374203332	0.028
Fung_ASV17	0.00695265422305787	0.0160308025424973	0.433705936095622	1.14695340501792	0.421587637346495	0.248562223871993	0.233
Fung_ASV26	0.00691628963707232	0.00969731367667312	0.713217068940386	0.642810975968036	1.02679358364181	0.255948239222774	0.354
Fung_ASV15	0.00688789000528822	0.0224732688327329	0.306492573757487	1.37757800105764	0	0.26330392615654	0.001
Fung_ASV21	0.00673544600479205	0.0214009983666897	0.314725784722065	0.0329044009636289	1.33233444973265	0.270496815725406	0.007
Fung_ASV28	0.00622477492475729	0.0184379595364682	0.337606496664958	1.01181032963159	0.366942828603326	0.277144351551982	0.154
Fung_ASV20	0.0059851734336134	0.0107342905705291	0.557575127511977	0.274986779481756	1.06146072037135	0.283536013147646	0.041
Fung_ASV22	0.00579793172336802	0.0203671295686997	0.284671028571365	1.1595863446736	0	0.289727716352502	0.001
Fung_ASV27	0.00530270090291244	0.0238495194235572	0.222339947767448	0.913097126740702	0.194488512838592	0.295390554713056	0.25
Fung_ASV29	0.0052665648197113	0.0108844015724031	0.483863516489913	0.125448028673835	1.0541159880134	0.301014802777476	0.001
Fung_ASV25	0.00508209778613447	0.00886245828018457	0.573441095626645	0.940125741817968	0.179799048122686	0.306442055572293	0.007
Fung_ASV35	0.00499967356745077	0.0137631618071657	0.36326489781205	0.158646218931782	0.888125036723662	0.311781286237265	0.057
Fung_ASV23	0.00461663761416979	0.00572918490056869	0.805810546228231	0.211822081203361	0.918972912627064	0.316711466735271	0.001
Fung_ASV51	0.00451782648151411	0.014692825673214	0.307485202778279	0.00176273576590869	0.903108290733886	0.321536125258212	0.001
Fung_ASV16	0.00438859183526911	0.00859625561224189	0.510523655092263	0.0208590398965862	0.881955461542981	0.326222772053608	0.001
Fung_ASV24	0.00430721220074296	0.00761652269323569	0.565509009061082	0.0329044009636289	0.859039896586169	0.330822512247141	0.001
Fung_ASV37	0.00430652669238956	0.0110969117382631	0.388083350932699	0.0132205182443152	0.860215053763441	0.335421520375436	0.001
Fung_ASV32	0.00426395988796835	0.0172895481378565	0.246620666657687	0.852282742816852	0.00058757858863623	0.339975070738457	0.11
Fung_ASV30	0.00425406898172632	0.00949240726118821	0.448154916310851	0.00881367882954346	0.846700746224807	0.344518058445897	0.001
Fung_ASV60	0.00413355008454603	0.0170300204089461	0.242721381729796	0.294083083612433	0.554967976966919	0.348932342112393	0.534
Fung_ASV38	0.0041122340390805	0.00865517221091853	0.475118684974621	0.0079323109465891	0.820847288324813	0.353323862036002	0.001
