primary_lifestyle	total_ave_contrib_percent	total_ave_relabun_nat	total_ave_relabun_farm	log2FC	significant
animal_parasite	0.154239379517011	0.124860450085199	0.183618308948822	0.556023854388956	Not significant
arbuscular_mycorrhizal	0.0492097067982844	0.0896057347670251	0.00881367882954345	-3.33110733266678	Not significant
dung_saprotroph	0.131470709207357	0.0308478759034021	0.232093542511311	2.9074155511725	Not significant
ectomycorrhizal	0.0110170985369293	0.00734473235795288	0.0146894647159058	0.990277947836424	Not significant
foliar_endophyte	0.0146894647159058	0.00293789294318115	0.0264410364886304	3.12708177779746	Not significant
lichenized	0.00146894647159058	0.00293789294318115	0	-4.9249991243511	Not significant
litter_saprotroph	0.831750135469509	0.214466184852224	1.4806980433633	2.7868802604025	Not significant
mycoparasite	0.0541878031742302	0.0572889123920324	0.0807920559374816	0.495225995328828	Not significant
plant_pathogen	7.45865731763848	2.19901286797109	13.5510312004231	2.62341973113004	Farm
pollen_saprotroph	0.00514131265056702	0	0.010282625301134	6.69802747258813	Not significant
root_endophyte	0.0286444561960163	0.0440683941477173	0.0132205182443152	-1.72936416796385	Not significant
soil_saprotroph	10.8975426157693	20.3698807215465	1.51595275868148	-3.74805274959041	Natural
sooty_mold	0.0161584111874963	0.0323168223749927	0	-8.34059886889297	Not significant
unassigned	56.0662592788459	52.5794700041125	60.8995828192015	0.211932370594469	Not significant
unspecified_saprotroph	9.99430375201574	7.64292849168577	12.9326047358834	0.758807717274732	Not significant
wood_saprotroph	0.462636530413722	0.458311299136259	0.471531817380575	0.0410184444118113	Not significant
