primary_lifestyle	total_ave_contrib_percent	total_ave_relabun_nat	total_ave_relabun_farm	log2FC	significant
animal_parasite	0.0675715376931665	0.0279099829602209	0.107233092426112	1.93808193865231	Not significant
arbuscular_mycorrhizal	0.0558199659204419	0.0396615547329455	0.0719783771079382	0.858192358872789	Not significant
dung_saprotroph	0.0462718138551032	0.0117515717727246	0.0807920559374816	2.77091962457649	Not significant
ectomycorrhizal	0.000734473235795288	0.00146894647159058	0	-3.97172422699696	Not significant
foliar_endophyte	0.0132205182443152	0.00734473235795288	0.0190963041306775	1.36653668603209	Not significant
litter_saprotroph	0.591250954815207	0.352547153181738	0.829954756448675	1.23498111695615	Not significant
mycoparasite	0.146813039021747	0.0132205182443152	0.296727187261296	4.47790112092665	Not significant
nectar/tap_saprotroph	0.00367236617897644	0	0.00734473235795288	6.21814807898087	Not significant
plant_pathogen	9.24285602365985	2.1196897585052	17.4892766907574	3.04448578353205	Farm
pollen_saprotroph	0.00881367882954346	0	0.0176273576590869	7.46983370197172	Not significant
protistan_parasite	0.00146894647159058	0	0.00293789294318115	4.9249991243511	Not significant
root_endophyte	0.0146894647159058	0.0220341970738586	0.00734473235795288	-1.5719851508855	Not significant
soil_saprotroph	14.1556658897572	24.992655267642	3.56807097949351	-2.80825330368238	Natural
unassigned	43.8728610507217	43.3427345907511	49.5886949879541	0.194220660408857	Not significant
unspecified_pathotroph	0.00220341970738587	0.00440683941477172	0	-5.49404414053862	Not significant
unspecified_saprotroph	14.0498201356654	18.2825077854163	10.8408249603385	-0.753984013119608	Not significant
wood_saprotroph	1.51015858093242	1.7465773547212	1.29854868088607	-0.427601942961056	Not significant
