,NMDS1,NMDS2,pvals
ECM,-0.14918812550029,0.0274888367279719,0.369476305236948
Pathotroph,0.0914581040401665,-0.600807799464906,9.99990000099999e-06
Saprotroph,0.242051231275126,0.314921196513009,0.000569994300056999
Gravimetric.water.content,0.918234929743505,0.200816834510452,9.99990000099999e-06
Carbon,0.301648772647527,0.214793172007591,0.001709982900171
Nitrogen,0.490576105140998,0.0901065651963014,9.99990000099999e-06
CN_ratio,-0.163971189234545,0.118899916866353,0.16149838501615
pH,0.0810426248272654,0.754992850169957,9.99990000099999e-06
