Sample	Country	Site	Landuse	Gravimetric.water.content	Carbon	Nitrogen	CN_ratio	pH	log_copy16S_persoil	log_copyITS_persoil	shannon_16S	shannon_ITS
M06	Malawi	G	Natural	0.058965517	1.28	0.11	11.64	7.415	8.505876174	7.953192205	8.235769104	5.691398623
M07	Malawi	G	Natural	0.04168883	1.21	0.18	6.72	7.114	8.244006476	7.813415077	8.439325357	5.756921628
M08	Malawi	G	Natural	0.046893472	1.1	0.07	15.71	7.007	8.098666386	7.353344316	8.377584199	5.133534945
M09	Malawi	G	Natural	0.038320581	1.28	0.14	9.14	7.109	8.073587048	7.634783689	8.424177945	4.897421386
M10	Malawi	G	Farm	0.00836688	1.07	0.28	3.82	5.735	6.634263314	5.891469771	7.101693139	5.131626869
M11	Malawi	G	Farm	0.043676848	1.09	0.04	27.25	5.613	6.735327158	5.629460232	8.362823202	5.207608367
M12	Malawi	G	Farm	0.036840674	0.87	0.17	5.12	5.83	7.171360736	6.335289521	7.779938417	5.098934275
M13	Malawi	G	Farm	0.039794439	0.92	0.12	7.67	5.777	6.929944147	5.869781849	7.921009946	4.691672749
M14	Malawi	G	Farm	0.042076426	0.89	0.11	8.09	5.65	5.902297834	5.217939088	8.205803047	6.16323533
M15	Malawi	G	Farm	0.039268039	0.81	0.25	3.24	5.774	7.4832682	6.701396398	7.802533595	5.057029575
M16	Malawi	G	Farm	0.040413597	0.89	0.21	4.24	5.979	7.649157079	6.504034655	8.03110864	4.697640002
M17	Malawi	G	Farm	0.043921518	0.74	0.17	4.35	5.728	7.505483477	6.864116849	8.602315222	4.500820867
M18	Malawi	G	Farm	0.037893385	0.83	0.19	4.37	5.921	7.820285836	6.901730627	8.254674003	4.863834456
M19	Malawi	H	Natural	0.076230246	2.89	0.28	10.32	6.185	8.436108688	7.696914626	8.738787298	5.679239948
M20	Malawi	H	Natural	0.059585208	3.67	0.29	12.66	6.35	7.482635097	6.863040008	8.410257744	6.066215794
M21	Malawi	H	Natural	0.067171891	2.89	0.4	7.23	6.201	8.23856392	7.531727076	8.156135065	5.527128276
M22	Malawi	H	Natural	0.026399239	2.47	0.26	9.5	6.13	8.313502859	7.515609637	8.487444637	6.236235608
M23	Malawi	H	Natural	0.024886272	2.15	0.16	13.44	6.278	8.484184839	7.862601065	8.541197422	6.0717994
M24	Malawi	H	Natural	0.027931064	3.35	0.28	11.96	6.275	8.254058648	7.429572616	8.529934866	5.225653113
M25	Malawi	H	Natural	0.045832284	2.73	0.22	12.41	6.255	7.965586865	7.599243097	7.612424864	3.492632827
M26	Malawi	H	Natural	0.047828132	2.5	0.26	9.62	6.267	7.676436619	7.229830945	8.409306881	4.828425551
M27	Malawi	H	Natural	0.042421942	2.34	0.26	9	6.163	7.82586437	7.542676225	8.447629222	4.460753498
M28	Malawi	H	Farm	0.024858479	1.67	0.27	6.19	5.875	7.687125546	6.65532563	8.534454477	6.269040879
M29	Malawi	H	Farm	0.025815217	1.43	0.27	5.3	5.738	7.565276795	6.533469734	7.958181234	5.810202927
M30	Malawi	H	Farm	0.037561663	1.97	0.29	6.79	5.634	6.392210881	6.757875546	8.168306618	5.847831327
M31	Malawi	H	Farm	0.021643042	1.99	0.19	10.47	5.471	7.819778827	7.119045381	8.323378229	6.468120407
M32	Malawi	H	Farm	0.020864035	1.98	0.22	9	5.567	7.521385365	6.596348868	7.966977265	6.079991346
M33	Malawi	H	Farm	0.02156514	1.78	0.18	9.89	5.606	6.76486937	5.706688612	8.518755777	6.002553779
M34	Malawi	H	Farm	0.028763679	2.04	0.2	10.2	5.495	7.83565415	6.954514009	8.366156239	6.237942371
M35	Malawi	H	Farm	0.021214099	1.93	0.17	11.35	5.634	8.003435286	7.248997019	8.343807422	5.85641571
M36	Malawi	H	Farm	0.030436404	2.39	0.2	11.95	5.588	7.824062113	7.171763671	8.381972618	5.652004274
