proktaxa_across	fungitaxa_across	prokallfunc_across	prok_cfunc_across	prok_nfunc_across	fungilife_across	env_across
M20	0.515561108631638	0.665547535111777	0.100693966420986	0.0774623104197416	0.212023760034309	0.121684219264519	0.156425897924389
M21	0.477835200832705	0.670892012714534	0.0942955368028486	0.0694713420642698	0.146108558847853	0.224915196300874	0.0669984548975503
M22	0.482408993104823	0.68610237873956	0.0737249051569353	0.0543690511550377	0.118367724485916	0.238628582163815	0.0714330296953534
M23	0.494536744885633	0.685053931901541	0.0814049682525007	0.0586710400750002	0.0879377510888963	0.166013558505159	0.15543592534493
M24	0.51242319647009	0.694808160054451	0.0783100497619547	0.0545848151725425	0.116131966321225	0.153215546054446	0.138150344856787
M25	0.551149299832347	0.689150844684373	0.0886450295889272	0.039079464363045	0.134907984170369	0.517287214863257	0.13650183342103
M26	0.56073354248814	0.677889452703774	0.0741297533401183	0.0654104198351755	0.151855138617021	0.251295093342126	0.0661254191573076
M27	0.52620747171184	0.686599476467719	0.0660567558100304	0.0448242148787413	0.188059124135406	0.258990221719562	0.0574056455888468
M28	0.528801215702186	0.64450702014573	0.0689060546928074	0.0584277152661	0.147431325683787	0.211718618651134	0.034817495060027
M29	0.508920905929902	0.592771220774117	0.0848713109373916	0.0422261018122538	0.161670636875363	0.250882645774038	0.0773328040696234
M30	0.536209260539078	0.695029174793279	0.0730219011404065	0.0632988406947732	0.218394897041104	0.184804661513023	0.0294518696442401
M31	0.501448236036183	0.56647486547979	0.0755053509101619	0.052110073475416	0.164703816801482	0.0673280272659058	0.14113825667639
M32	0.500926014635846	0.568412672878149	0.0824247033178939	0.0344516138498597	0.0662807729651078	0.05168697382924	0.0951375549829672
M33	0.513293211365448	0.5663874272257	0.0869877571737797	0.0547746580868814	0.236380225215161	0.092780329814612	0.122053252559284
M34	0.520714900205282	0.612752686077071	0.0688457952538255	0.049041828312083	0.0838521379244124	0.161082305390426	0.132527232875986
M35	0.515382071470908	0.624294206351747	0.0684198384100583	0.0360661525456588	0.0488356416967256	0.277985180308613	0.159620761051442
M36	0.523422494857868	0.598626655505286	0.0763461282268163	0.0584749009916772	0.157397008161948	0.207263763133398	0.177617513022119
