,x
638,0.65
639,0.84
640,1
641,1
642,1
643,1
644,1
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,0.99
654,1
655,1
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,-0.87
686,-0.16
687,-0.55
688,-0.4
689,0.28
690,0.31
691,-0.27
692,0.32
693,-0.77
694,-0.47
695,-0.35
696,-0.2
697,0.99
698,0.95
699,0.82
700,0.99
701,0.77
702,0.95
703,0.76
704,0.73
705,0.67
706,0.84
707,0.46
708,0.7
709,0.5
710,0.6
711,0.34
712,0.99
713,0.89
714,0.91
715,0.99
716,0.92
717,0.9
718,0.98
719,0.59
720,0.88
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,0.99
734,0.98
735,0.97
736,1
737,0.99
738,1
739,1
740,1
741,1
742,1
743,1
744,1
745,1
746,1
747,1
748,1
749,1
750,0.99
751,1
752,0.99
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,-1
767,-1
768,-1
769,-1
770,-1
771,-1
772,-1
773,-1
774,-0.63
775,0.72
776,-0.72
777,0.71
778,0.62
779,0.89
780,-0.1
781,-0.42
782,0.24
783,-0.54
784,-0.78
785,-0.82
786,-0.96
787,-0.96
788,-0.9
789,-0.39
790,-0.18
791,-0.31
792,0.84
793,0.87
794,0.98
795,0.77
796,0.62
797,-0.16
798,0.88
799,0.66
800,0.75
801,1
802,1
803,1
804,1
805,1
806,1
807,0.16
808,0.01
809,-0.26
810,1
811,0.99
812,1
813,1
814,1
815,0.99
816,1
817,1
818,1
819,1
820,1
821,1
822,1
823,1
824,1
825,1
826,1
827,1
828,1
829,1
830,1
831,1
832,1
833,1
834,0.99
835,1
836,1
837,1
838,1
839,1
840,1
841,1
842,1
843,1
844,1
845,1
846,-1
847,-1
848,-1
849,-1
850,-1
851,-1
852,-1
853,-0.49
854,0.74
855,-0.62
856,0.06
857,0.12
858,0.76
859,-0.61
860,-0.69
861,0.02
862,-0.95
863,-0.99
864,-0.92
865,-0.98
866,-0.91
867,-1
868,-0.52
869,-0.2
870,-0.41
871,0.54
872,0.59
873,0.94
874,0.68
875,0.37
876,-0.35
877,0.88
878,0.58
879,0.75
880,0.97
881,1
882,1
883,1
884,1
885,1
886,-0.5
887,-0.5
888,-0.61
889,1
890,1
891,1
892,1
893,1
894,0.99
895,1
896,1
897,1
898,1
899,1
900,1
901,1
902,1
903,1
904,1
905,1
906,1
907,1
908,0.99
909,0.99
910,1
911,0.99
912,1
913,0.98
914,1
915,1
916,1
917,1
918,1
919,1
920,1
921,1
922,1
923,1
924,1
925,-1
926,-1
927,-1
928,-1
929,-1
930,-1
931,-0.59
932,0.75
933,-0.55
934,0.58
935,0.42
936,0.91
937,0
938,-0.5
939,0.08
940,-0.83
941,-0.85
942,-0.92
943,-0.98
944,-0.91
945,-0.98
946,-0.62
947,-0.27
948,-0.18
949,0.61
950,0.86
951,0.98
952,0.73
953,0.46
954,-0.37
955,0.82
956,0.72
957,0.69
958,0.99
959,1
960,1
961,1
962,1
963,1
964,0.44
965,0.62
966,-0.15
967,1
968,1
969,1
970,1
971,1
972,1
973,1
974,1
975,1
976,1
977,1
978,1
979,1
980,1
981,1
982,1
983,1
984,1
985,1
986,1
987,1
988,1
989,1
990,1
991,0.99
992,1
993,1
994,1
995,1
996,1
997,1
998,1
999,1
1000,1
1001,1
1002,1
1003,-1
1004,-1
1005,-1
1006,-1
1007,-1
1008,-0.42
1009,0.72
1010,-0.4
1011,0.7
1012,0.74
1013,0.98
1014,-0.27
1015,-0.46
1016,-0.05
1017,-0.79
1018,-0.91
1019,-0.73
1020,-0.87
1021,-0.95
1022,-0.82
1023,0.2
1024,-0.21
1025,-0.32
1026,0.67
1027,0.72
1028,0.92
1029,0.66
1030,0.47
1031,-0.49
1032,0.83
1033,0.53
1034,0.67
1035,1
1036,1
1037,1
1038,1
1039,1
1040,1
1041,0.15
1042,0.25
1043,-0.37
1044,0.99
1045,0.99
1046,1
1047,1
1048,1
1049,0.99
1050,0.99
1051,0.99
1052,1
1053,1
1054,1
1055,1
1056,1
1057,1
1058,1
1059,1
1060,1
1061,1
1062,1
1063,0.99
1064,0.97
1065,1
1066,1
1067,1
1068,0.94
1069,1
1070,1
1071,1
1072,1
1073,1
1074,1
1075,1
1076,1
1077,1
1078,1
1079,1
1080,-1
1081,-1
1082,-1
1083,-1
1084,-0.33
1085,0.82
1086,-0.65
1087,0.67
1088,0.75
1089,0.96
1090,-0.59
1091,-0.36
1092,-0.2
1093,-0.76
1094,-0.78
1095,-0.8
1096,-0.96
1097,-0.95
1098,-0.94
1099,0.09
1100,-0.08
1101,-0.21
1102,0.78
1103,0.89
1104,0.97
1105,0.75
1106,0.34
1107,-0.57
1108,0.82
1109,0.47
1110,0.59
1111,1
1112,1
1113,1
1114,1
1115,1
1116,1
1117,0.12
1118,0.02
1119,-0.39
1120,1
1121,0.99
1122,1
1123,1
1124,1
1125,1
1126,1
1127,1
1128,1
1129,1
1130,1
1131,1
1132,1
1133,1
1134,1
1135,1
1136,1
1137,1
1138,1
1139,1
1140,1
1141,1
1142,1
1143,1
1144,0.97
1145,1
1146,1
1147,1
1148,1
1149,1
1150,1
1151,1
1152,1
1153,1
1154,1
1155,1
1156,-1
1157,-1
1158,-1
1159,0.05
1160,0.96
1161,-0.47
1162,0.81
1163,0.8
1164,0.98
1165,0.23
1166,-0.4
1167,0.43
1168,-0.56
1169,-0.57
1170,-0.24
1171,-0.93
1172,-0.78
1173,-0.84
1174,-0.25
1175,0.27
1176,0.05
1177,0.91
1178,0.94
1179,1
1180,0.81
1181,0.86
1182,-0.2
1183,0.9
1184,0.86
1185,0.76
1186,1
1187,1
1188,1
1189,1
1190,1
1191,1
1192,0.62
1193,0.62
1194,0.14
1195,1
1196,1
1197,1
1198,1
1199,1
1200,1
1201,1
1202,1
1203,1
1204,1
1205,1
1206,1
1207,1
1208,1
1209,1
1210,1
1211,1
1212,1
1213,1
1214,1
1215,1
1216,1
1217,1
1218,1
1219,0.96
1220,1
1221,1
1222,1
1223,1
1224,1
1225,1
1226,1
1227,1
1228,1
1229,1
1230,1
1231,-1
1232,-1
1233,0.08
1234,0.69
1235,-0.6
1236,0.74
1237,0.73
1238,0.92
1239,0.43
1240,0.25
1241,0.5
1242,-0.69
1243,-0.88
1244,-0.74
1245,-0.92
1246,-0.65
1247,-0.93
1248,-0.82
1249,-0.47
1250,-0.51
1251,0.58
1252,0.73
1253,0.92
1254,0.81
1255,0.84
1256,-0.09
1257,0.96
1258,0.77
1259,0.85
1260,1
1261,1
1262,1
1263,1
1264,1
1265,1
1266,0.57
1267,0.66
1268,-0.1
1269,1
1270,1
1271,1
1272,1
1273,1
1274,1
1275,1
1276,1
1277,1
1278,1
1279,1
1280,1
1281,1
1282,1
1283,1
1284,1
1285,1
1286,1
1287,1
1288,1
1289,0.99
1290,1
1291,1
1292,1
1293,0.99
1294,1
1295,1
1296,1
1297,1
1298,1
1299,1
1300,1
1301,1
1302,1
1303,1
1304,1
1305,-1
1306,0.12
1307,0.59
1308,0.17
1309,0.64
1310,0.56
1311,0.83
1312,0.53
1313,-0.6
1314,0.39
1315,-0.41
1316,-0.85
1317,-0.75
1318,-0.84
1319,-0.46
1320,-0.72
1321,-0.35
1322,-0.38
1323,-0.51
1324,0.48
1325,0.77
1326,0.81
1327,0.68
1328,0.64
1329,0.25
1330,0.95
1331,0.53
1332,0.63
1333,0.98
1334,1
1335,1
1336,1
1337,1
1338,1
1339,0.63
1340,0.65
1341,0.1
1342,1
1343,1
1344,1
1345,1
1346,1
1347,0.99
1348,1
1349,1
1350,1
1351,1
1352,1
1353,1
1354,1
1355,1
1356,1
1357,1
1358,1
1359,1
1360,1
1361,0.99
1362,0.99
1363,1
1364,1
1365,1
1366,0.98
1367,1
1368,1
1369,1
1370,1
1371,1
1372,1
1373,1
1374,1
1375,1
1376,1
1377,1
1378,-0.33
1379,0.83
1380,-0.37
1381,0.91
1382,0.72
1383,0.94
1384,0.47
1385,-0.23
1386,0.35
1387,-0.83
1388,-0.83
1389,-0.73
1390,-0.82
1391,-0.84
1392,-0.9
1393,-0.68
1394,-0.49
1395,-0.42
1396,0.73
1397,0.82
1398,0.96
1399,0.71
1400,0.55
1401,-0.37
1402,0.69
1403,0.45
1404,0.45
1405,1
1406,1
1407,1
1408,1
1409,1
1410,1
1411,0.39
1412,0.43
1413,0.31
1414,1
1415,1
1416,1
1417,1
1418,1
1419,1
1420,1
1421,1
1422,1
1423,1
1424,1
1425,1
1426,1
1427,1
1428,1
1429,1
1430,1
1431,1
1432,1
1433,1
1434,1
1435,1
1436,1
1437,1
1438,0.96
1439,1
1440,1
1441,1
1442,1
1443,1
1444,1
1445,1
1446,1
1447,1
1448,1
1449,1
1450,-0.98
1451,-1
1452,0.06
1453,-0.44
1454,-0.3
1455,-0.16
1456,-0.95
1457,-0.2
1458,-0.77
1459,-0.84
1460,-0.95
1461,-0.91
1462,-0.96
1463,-0.85
1464,-0.39
1465,-0.46
1466,-0.79
1467,0.78
1468,0.7
1469,0.77
1470,0.85
1471,0.89
1472,0.42
1473,0.93
1474,0.52
1475,0.49
1476,1
1477,1
1478,1
1479,1
1480,1
1481,1
1482,0.99
1483,0.98
1484,0.94
1485,1
1486,0.98
1487,1
1488,0.99
1489,0.99
1490,0.97
1491,0.99
1492,0.98
1493,0.99
1494,1
1495,1
1496,1
1497,1
1498,1
1499,1
1500,1
1501,1
1502,1
1503,1
1504,0.99
1505,0.97
1506,1
1507,1
1508,1
1509,0.99
1510,1
1511,1
1512,1
1513,1
1514,1
1515,1
1516,1
1517,1
1518,1
1519,1
1520,1
1521,-0.99
1522,0.68
1523,0.36
1524,-0.38
1525,0.94
1526,-0.07
1527,0.83
1528,-0.32
1529,0.01
1530,-0.61
1531,0.12
1532,-0.25
1533,0.62
1534,-0.1
1535,-0.01
1536,-0.43
1537,0.81
1538,0.59
1539,0.61
1540,0.95
1541,0.95
1542,0.59
1543,0.92
1544,0.26
1545,0.81
1546,1
1547,1
1548,1
1549,1
1550,1
1551,1
1552,1
1553,1
1554,1
1555,1
1556,1
1557,1
1558,1
1559,1
1560,1
1561,1
1562,1
1563,1
1564,1
1565,1
1566,1
1567,1
1568,1
1569,1
1570,1
1571,1
1572,1
1573,1
1574,1
1575,1
1576,1
1577,1
1578,1
1579,1
1580,1
1581,1
1582,1
1583,1
1584,1
1585,1
1586,1
1587,1
1588,1
1589,1
1590,1
1591,-0.55
1592,-0.7
1593,-0.26
1594,-0.79
1595,-0.75
1596,-0.7
1597,-0.84
1598,-0.92
1599,-0.94
1600,-0.82
1601,-0.93
1602,-0.85
1603,-0.36
1604,-0.55
1605,-0.7
1606,0.67
1607,0.48
1608,0.86
1609,0.88
1610,0.48
1611,-0.13
1612,0.88
1613,0.65
1614,0.68
1615,0.99
1616,1
1617,1
1618,1
1619,1
1620,1
1621,0.87
1622,0.84
1623,0.73
1624,0.99
1625,0.98
1626,1
1627,0.98
1628,1
1629,0.98
1630,0.96
1631,0.94
1632,0.98
1633,1
1634,1
1635,1
1636,1
1637,1
1638,1
1639,1
1640,1
1641,1
1642,0.99
1643,0.99
1644,0.99
1645,0.99
1646,1
1647,1
1648,0.98
1649,1
1650,1
1651,1
1652,1
1653,1
1654,1
1655,1
1656,1
1657,1
1658,1
1659,1
1660,-0.99
1661,-0.35
1662,-0.99
1663,-0.93
1664,-0.97
1665,0.12
1666,0
1667,0.22
1668,-0.53
1669,-0.22
1670,-0.55
1671,0.88
1672,0.95
1673,0.98
1674,0.99
1675,0.99
1676,1
1677,0.99
1678,0.97
1679,0.84
1680,1
1681,0.96
1682,0.93
1683,0.92
1684,0.96
1685,1
1686,0.99
1687,0.99
1688,1
1689,0.99
1690,1
1691,0.98
1692,1
1693,1
1694,1
1695,1
1696,1
1697,1
1698,1
1699,1
1700,1
1701,1
1702,1
1703,1
1704,1
1705,1
1706,1
1707,1
1708,1
1709,1
1710,1
1711,1
1712,1
1713,1
1714,1
1715,1
1716,1
1717,1
1718,1
1719,1
1720,1
1721,1
1722,1
1723,1
1724,1
1725,1
1726,1
1727,1
1728,-0.18
1729,-0.95
1730,-0.97
1731,-0.84
1732,-0.57
1733,-0.19
1734,-0.48
1735,-0.95
1736,-0.62
1737,-0.87
1738,0.65
1739,0.61
1740,0.87
1741,0.98
1742,0.94
1743,1
1744,0.99
1745,0.95
1746,0.58
1747,0.99
1748,0.88
1749,0.62
1750,0.95
1751,0.99
1752,1
1753,1
1754,1
1755,1
1756,0.99
1757,1
1758,0.97
1759,1
1760,1
1761,1
1762,1
1763,1
1764,0.99
1765,1
1766,1
1767,1
1768,1
1769,1
1770,1
1771,1
1772,1
1773,1
1774,1
1775,1
1776,0.99
1777,1
1778,0.99
1779,1
1780,1
1781,1
1782,1
1783,0.99
1784,1
1785,1
1786,1
1787,1
1788,1
1789,1
1790,1
1791,1
1792,1
1793,1
1794,1
1795,0.5
1796,-0.83
1797,0.13
1798,0.5
1799,0.45
1800,0.38
1801,-0.15
1802,0.09
1803,0.05
1804,0.13
1805,0.3
1806,0.22
1807,0.81
1808,0.83
1809,0.61
1810,1
1811,0.98
1812,0.91
1813,0.99
