,x
700,0.84
701,0.78
702,0.81
703,0.91
704,0.9
705,0.89
706,0.93
707,0.92
708,0.93
709,0.97
710,0.92
711,0.92
712,1
713,1
714,0.99
715,0.98
716,0.97
717,0.98
718,1
719,0.99
720,0.99
721,0.97
722,0.96
723,0.91
724,0.88
725,0.92
726,0.93
727,0.89
728,0.91
729,0.97
730,0.98
731,0.98
732,0.99
733,0.99
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,0.99
742,0.96
743,0.97
744,0.96
745,0.99
746,1
747,0.99
748,0.99
749,1
750,0.99
751,1
752,1
753,1
754,0.99
755,1
756,1
757,0.95
758,1
759,0.59
760,1
761,1
762,0.99
763,1
764,1
765,0.99
766,-0.25
767,-0.73
768,0.17
769,-0.07
770,0.37
771,0.08
772,0.5
773,0.4
774,0.94
775,0.93
776,0.95
777,0.96
778,0.91
779,0.96
780,0.93
781,0.93
782,0.92
783,0.76
784,0.8
785,0.76
786,0.79
787,0.84
788,0.74
789,0.88
790,0.75
791,0.77
792,0.98
793,0.98
794,0.97
795,0.95
796,0.98
797,0.97
798,1
799,1
800,1
801,0.87
802,0.96
803,0.86
804,0.71
805,0.82
806,0.85
807,0.81
808,0.77
809,-0.12
810,1
811,1
812,1
813,1
814,1
815,1
816,1
817,1
818,1
819,1
820,1
821,1
822,0.99
823,0.99
824,0.98
825,1
826,0.99
827,0.99
828,0.99
829,1
830,1
831,1
832,1
833,1
834,0.94
835,1
836,1
837,0.98
838,1
839,0.71
840,0.98
841,0.99
842,0.96
843,0.99
844,1
845,0.99
846,-0.9
847,-0.64
848,-0.93
849,-0.48
850,-0.65
851,-0.54
852,-0.11
853,0.96
854,0.97
855,0.98
856,0.97
857,0.95
858,0.99
859,0.87
860,0.94
861,0.9
862,0.47
863,0.26
864,0.51
865,0.18
866,0.71
867,0.12
868,0.39
869,0.43
870,0.45
871,0.91
872,0.99
873,0.96
874,0.88
875,0.94
876,0.91
877,1
878,1
879,1
880,0.97
881,0.76
882,0.84
883,0.62
884,0.77
885,0.92
886,0.55
887,0.62
888,0.57
889,1
890,1
891,1
892,1
893,1
894,1
895,1
896,1
897,1
898,1
899,1
900,1
901,0.99
902,1
903,0.99
904,1
905,0.99
906,0.98
907,1
908,1
909,1
910,1
911,1
912,1
913,0.95
914,1
915,1
916,0.98
917,1
918,0.74
919,0.93
920,0.96
921,0.88
922,1
923,1
924,0.98
925,-0.53
926,-0.81
927,-0.73
928,-0.49
929,-0.35
930,-0.04
931,0.93
932,0.94
933,0.94
934,0.93
935,0.89
936,0.98
937,0.78
938,0.93
939,0.91
940,0.56
941,0.43
942,0.41
943,0.43
944,0.82
945,0.42
946,0.68
947,0.54
948,0.76
949,0.95
950,0.99
951,0.97
952,0.94
953,0.96
954,0.96
955,1
956,1
957,1
958,0.85
959,0.84
960,0.81
961,0.56
962,0.71
963,0.87
964,0.76
965,0.71
966,0.02
967,1
968,1
969,1
970,1
971,1
972,1
973,1
974,1
975,1
976,1
977,1
978,0.99
979,0.96
980,0.99
981,0.99
982,0.98
983,0.99
984,0.96
985,1
986,1
987,1
988,1
989,1
990,1
991,0.96
992,1
993,1
994,0.96
995,1
996,0.38
997,0.96
998,0.98
999,0.87
1000,1
1001,0.99
1002,0.96
1003,-0.92
1004,-0.56
1005,-0.33
1006,-0.33
1007,0.01
1008,0.9
1009,0.9
1010,0.91
1011,0.89
1012,0.86
1013,0.97
1014,0.79
1015,0.93
1016,0.88
1017,0.5
1018,0.31
1019,0.29
1020,0.16
1021,0.68
1022,0.1
1023,0.25
1024,0.29
1025,0.31
1026,0.82
1027,0.98
1028,0.91
1029,0.94
1030,0.97
1031,0.95
1032,1
1033,1
1034,1
1035,0.86
1036,0.61
1037,0.72
1038,0.21
1039,0.37
1040,0.66
1041,0.43
1042,0.36
1043,0.69
1044,1
1045,1
1046,1
1047,1
1048,1
1049,1
1050,1
1051,1
1052,1
1053,1
1054,1
1055,0.98
1056,0.91
1057,0.96
1058,0.97
1059,0.96
1060,0.96
1061,0.94
1062,1
1063,1
1064,1
1065,1
1066,1
1067,1
1068,0.95
1069,1
1070,1
1071,0.85
1072,0.96
1073,0.45
1074,0.88
1075,0.92
1076,0.91
1077,0.96
1078,0.96
1079,0.94
1080,-0.74
1081,-0.87
1082,-0.75
1083,-0.48
1084,0.92
1085,0.92
1086,0.88
1087,0.86
1088,0.84
1089,0.98
1090,0.64
1091,0.94
1092,0.85
1093,0.14
1094,-0.04
1095,0.17
1096,0.13
1097,0.68
1098,-0.1
1099,-0.02
1100,0.33
1101,0.3
1102,0.96
1103,1
1104,0.96
1105,0.98
1106,0.98
1107,0.99
1108,1
1109,1
1110,1
1111,0.93
1112,0.89
1113,0.82
1114,0.48
1115,0.68
1116,0.91
1117,0.51
1118,0.53
1119,0.76
1120,1
1121,1
1122,1
1123,1
1124,1
1125,1
1126,1
1127,1
1128,1
1129,1
1130,1
1131,1
1132,0.97
1133,1
1134,0.99
1135,0.99
1136,1
1137,0.98
1138,1
1139,1
1140,1
1141,1
1142,1
1143,1
1144,0.95
1145,1
1146,1
1147,0.93
1148,1
1149,0.5
1150,0.96
1151,0.97
1152,0.89
1153,1
1154,0.99
1155,0.96
1156,-0.77
1157,-0.76
1158,-0.55
1159,0.83
1160,0.86
1161,0.83
1162,0.78
1163,0.8
1164,0.95
1165,0.74
1166,0.87
1167,0.79
1168,0.45
1169,0.44
1170,0.5
1171,0.24
1172,0.72
1173,0.02
1174,0.25
1175,0.3
1176,0.55
1177,0.94
1178,0.98
1179,0.97
1180,0.94
1181,0.98
1182,0.95
1183,1
1184,1
1185,1
1186,0.93
1187,0.84
1188,0.84
1189,0.49
1190,0.7
1191,0.8
1192,0.72
1193,0.73
1194,0.92
1195,1
1196,1
1197,1
1198,1
1199,1
1200,1
1201,1
1202,1
1203,1
1204,1
