"","row","col","bNTI","RCbray","process","row.country","row.site","row.landuse","col.country","col.site","col.landuse","pair_scale","pair_landu"
"41","K01","K42",-7.93522825012229,0.92,"Homogeneous Selection","Kenya","D","Natural","Kenya","F","Natural","across_site_within_country","Natural"
"42","K01","K43",-7.71266384652256,0.99,"Homogeneous Selection","Kenya","D","Natural","Kenya","F","Natural","across_site_within_country","Natural"
"43","K01","K44",-9.7027921879273,0.76,"Homogeneous Selection","Kenya","D","Natural","Kenya","F","Natural","across_site_within_country","Natural"
"44","K01","K45",-8.63745046744884,0.96,"Homogeneous Selection","Kenya","D","Natural","Kenya","F","Natural","across_site_within_country","Natural"
"45","K01","K46",-3.49865195035742,1,"Homogeneous Selection","Kenya","D","Natural","Kenya","F","Farm","across_site_within_country","cross_landuse"
"46","K01","K47",-5.0908086250813,1,"Homogeneous Selection","Kenya","D","Natural","Kenya","F","Farm","across_site_within_country","cross_landuse"
"47","K01","K48",-4.16381263954465,1,"Homogeneous Selection","Kenya","D","Natural","Kenya","F","Farm","across_site_within_country","cross_landuse"
"48","K01","K49",-4.3857281313051,1,"Homogeneous Selection","Kenya","D","Natural","Kenya","F","Farm","across_site_within_country","cross_landuse"
"49","K01","K50",-4.2094521227533,1,"Homogeneous Selection","Kenya","D","Natural","Kenya","F","Farm","across_site_within_country","cross_landuse"
"50","K01","K51",-4.68864427297884,1,"Homogeneous Selection","Kenya","D","Natural","Kenya","F","Farm","across_site_within_country","cross_landuse"
"51","K01","K52",-8.23957165394705,1,"Homogeneous Selection","Kenya","D","Natural","Kenya","F","Farm","across_site_within_country","cross_landuse"
"52","K01","K53",-8.48842375469269,1,"Homogeneous Selection","Kenya","D","Natural","Kenya","F","Farm","across_site_within_country","cross_landuse"
"53","K01","K54",-8.62251320002419,1,"Homogeneous Selection","Kenya","D","Natural","Kenya","F","Farm","across_site_within_country","cross_landuse"
"54","K01","M01",-7.9269325605594,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","G","Natural","across_site_btw_country","Natural"
"55","K01","M02",-7.30608275989745,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","G","Natural","across_site_btw_country","Natural"
"56","K01","M03",-5.45807543649461,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","G","Natural","across_site_btw_country","Natural"
"57","K01","M04",-5.96378482946132,0.99,"Homogeneous Selection","Kenya","D","Natural","Malawi","G","Natural","across_site_btw_country","Natural"
"58","K01","M05",-5.70433140563665,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","G","Natural","across_site_btw_country","Natural"
"59","K01","M06",-7.35823921562715,0.97,"Homogeneous Selection","Kenya","D","Natural","Malawi","G","Natural","across_site_btw_country","Natural"
"60","K01","M07",-7.27970632128098,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","G","Natural","across_site_btw_country","Natural"
"61","K01","M08",-5.50087491116911,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","G","Natural","across_site_btw_country","Natural"
"62","K01","M09",-6.17929894093457,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","G","Natural","across_site_btw_country","Natural"
"63","K01","M10",-2.56245361931578,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","G","Farm","across_site_btw_country","cross_landuse"
"64","K01","M11",-4.89906781001631,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","G","Farm","across_site_btw_country","cross_landuse"
"65","K01","M12",-3.28127127192693,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","G","Farm","across_site_btw_country","cross_landuse"
"66","K01","M13",-3.05602919546394,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","G","Farm","across_site_btw_country","cross_landuse"
"67","K01","M14",-1.54383328895787,1,"Dispersal Limitation","Kenya","D","Natural","Malawi","G","Farm","across_site_btw_country","cross_landuse"
"68","K01","M15",-3.36264292564678,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","G","Farm","across_site_btw_country","cross_landuse"
"69","K01","M16",-4.94486094380591,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","G","Farm","across_site_btw_country","cross_landuse"
"70","K01","M17",-2.66297207937754,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","G","Farm","across_site_btw_country","cross_landuse"
"71","K01","M18",-3.56866260127223,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","G","Farm","across_site_btw_country","cross_landuse"
"72","K01","M19",-7.80509807252948,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","H","Natural","across_site_btw_country","Natural"
"73","K01","M20",-7.51879647054251,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","H","Natural","across_site_btw_country","Natural"
"74","K01","M21",-6.72348831611241,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","H","Natural","across_site_btw_country","Natural"
"75","K01","M22",-5.99053427741657,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","H","Natural","across_site_btw_country","Natural"
"76","K01","M23",-6.46680581797995,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","H","Natural","across_site_btw_country","Natural"
"77","K01","M24",-4.09310755378328,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","H","Natural","across_site_btw_country","Natural"
"78","K01","M25",-7.26283032499069,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","H","Natural","across_site_btw_country","Natural"
"79","K01","M26",-1.81188571878961,1,"Dispersal Limitation","Kenya","D","Natural","Malawi","H","Natural","across_site_btw_country","Natural"
"80","K01","M27",-5.22374527051209,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","H","Natural","across_site_btw_country","Natural"
"81","K01","M28",-1.66373477255307,1,"Dispersal Limitation","Kenya","D","Natural","Malawi","H","Farm","across_site_btw_country","cross_landuse"
"82","K01","M29",-3.42032389742684,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","H","Farm","across_site_btw_country","cross_landuse"
"83","K01","M30",-1.54099906405476,1,"Dispersal Limitation","Kenya","D","Natural","Malawi","H","Farm","across_site_btw_country","cross_landuse"
"84","K01","M31",-2.4001605559898,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","H","Farm","across_site_btw_country","cross_landuse"
"85","K01","M32",-3.89090935309018,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","H","Farm","across_site_btw_country","cross_landuse"
"86","K01","M33",-3.05718678024131,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","H","Farm","across_site_btw_country","cross_landuse"
"87","K01","M34",-3.51950689410039,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","H","Farm","across_site_btw_country","cross_landuse"
"88","K01","M35",-5.1429086265302,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","H","Farm","across_site_btw_country","cross_landuse"
"89","K01","M36",-2.19340618575398,1,"Homogeneous Selection","Kenya","D","Natural","Malawi","H","Farm","across_site_btw_country","cross_landuse"
"90","K02","K03",-10.497129555649,-1,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Natural","within_site","Natural"
"91","K02","K04",-10.96477606457,-0.85,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Natural","within_site","Natural"
"92","K02","K05",-10.2384020273277,-0.5,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Natural","within_site","Natural"
"93","K02","K06",-10.2565572404369,-0.4,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Natural","within_site","Natural"
"94","K02","K07",-9.45846217864473,-0.95,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Natural","within_site","Natural"
"95","K02","K08",-10.3596655282897,-0.67,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Natural","within_site","Natural"
"96","K02","K09",-10.6184356533721,-0.99,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Natural","within_site","Natural"
"97","K02","K10",-10.0562085997491,-0.87,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Farm","within_site","cross_landuse"
"98","K02","K11",-9.99041172548084,-0.57,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Farm","within_site","cross_landuse"
"99","K02","K12",-8.73052851608113,-0.66,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Farm","within_site","cross_landuse"
"100","K02","K13",-9.45416245438864,-0.93,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Farm","within_site","cross_landuse"
"101","K02","K14",-9.11586386034928,-0.62,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Farm","within_site","cross_landuse"
"102","K02","K15",-10.0202452111035,-0.81,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Farm","within_site","cross_landuse"
"103","K02","K16",-10.0859552908606,-0.51,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Farm","within_site","cross_landuse"
"104","K02","K17",-9.10669551062096,-0.07,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Farm","within_site","cross_landuse"
"105","K02","K18",-10.2213359077856,-0.85,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Farm","within_site","cross_landuse"
"106","K02","K19",-11.1075737098748,-0.89,"Homogeneous Selection","Kenya","D","Natural","Kenya","E","Natural","across_site_within_country","Natural"
