row,col,bNTI,RCbray,process,row.country,row.site,row.landuse,col.country,col.site,col.landuse,pair_scale,pair_landu
K01,K46,-1.88553892647138,1,Dispersal Limitation,Kenya,D,Natural,Kenya,F,Farm,across_site_within_country,cross_landuse
K01,K47,-2.1760115191585,1,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Farm,across_site_within_country,cross_landuse
K01,K48,-1.77160824441373,1,Dispersal Limitation,Kenya,D,Natural,Kenya,F,Farm,across_site_within_country,cross_landuse
K01,K49,-1.892581283446,1,Dispersal Limitation,Kenya,D,Natural,Kenya,F,Farm,across_site_within_country,cross_landuse
K01,K50,-2.06289357335247,1,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Farm,across_site_within_country,cross_landuse
K01,K51,-1.73341189061711,1,Dispersal Limitation,Kenya,D,Natural,Kenya,F,Farm,across_site_within_country,cross_landuse
K01,K52,-1.67444187663668,1,Dispersal Limitation,Kenya,D,Natural,Kenya,F,Farm,across_site_within_country,cross_landuse
K01,K53,-1.8725352114649,1,Dispersal Limitation,Kenya,D,Natural,Kenya,F,Farm,across_site_within_country,cross_landuse
K01,K54,-2.02719690651633,1,Homogeneous Selection,Kenya,D,Natural,Kenya,F,Farm,across_site_within_country,cross_landuse
K01,M01,-1.53707675207718,1,Dispersal Limitation,Kenya,D,Natural,Malawi,G,Natural,across_site_btw_country,Natural
K01,M02,-1.92890219966779,1,Dispersal Limitation,Kenya,D,Natural,Malawi,G,Natural,across_site_btw_country,Natural
K01,M03,-1.86209428357055,1,Dispersal Limitation,Kenya,D,Natural,Malawi,G,Natural,across_site_btw_country,Natural
K01,M04,-1.01357921373239,0.99,Dispersal Limitation,Kenya,D,Natural,Malawi,G,Natural,across_site_btw_country,Natural
K01,M05,-1.99173095298952,1,Dispersal Limitation,Kenya,D,Natural,Malawi,G,Natural,across_site_btw_country,Natural
K01,M06,-2.09510181524683,0.97,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Natural,across_site_btw_country,Natural
K01,M07,-1.90307090208583,1,Dispersal Limitation,Kenya,D,Natural,Malawi,G,Natural,across_site_btw_country,Natural
K01,M08,-1.69677269712656,1,Dispersal Limitation,Kenya,D,Natural,Malawi,G,Natural,across_site_btw_country,Natural
K01,M09,-1.87415118687402,1,Dispersal Limitation,Kenya,D,Natural,Malawi,G,Natural,across_site_btw_country,Natural
K01,M10,-1.74537497489578,1,Dispersal Limitation,Kenya,D,Natural,Malawi,G,Farm,across_site_btw_country,cross_landuse
K01,M11,-1.8412551643215,1,Dispersal Limitation,Kenya,D,Natural,Malawi,G,Farm,across_site_btw_country,cross_landuse
K01,M12,-1.69293124927492,1,Dispersal Limitation,Kenya,D,Natural,Malawi,G,Farm,across_site_btw_country,cross_landuse
K01,M13,-1.81545554879495,1,Dispersal Limitation,Kenya,D,Natural,Malawi,G,Farm,across_site_btw_country,cross_landuse
K01,M14,-2.00584632456539,1,Homogeneous Selection,Kenya,D,Natural,Malawi,G,Farm,across_site_btw_country,cross_landuse
K01,M15,-1.87647396319859,1,Dispersal Limitation,Kenya,D,Natural,Malawi,G,Farm,across_site_btw_country,cross_landuse
