K01	K02	K03	K04	K05	K06	K07	K08	K09	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K20	K21	K22	K23	K24	K25	K26	K27	K28	K29	K30	K31	K32	K33	K34	K35	K36	K37	K38	K39	K40	K41	K42	K43	K44	K45	K46	K47	K48	K49	K50	K51	K52	K53	K54	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36	Kingdom	Phylum	Class	Order	Family	Genus	Species
Prok_ASV233	12	20	27	0	12	0	0	0	24	25	0	0	17	21	0	0	0	13	42	13	39	110	50	27	48	27	25	21	19	18	0	13	0	9	0	0	0	0	0	0	0	0	0	0	0	0	21	11	10	22	13	16	24	10	0	6	0	0	0	0	0	0	0	1	9	0	0	0	5	6	16	0	0	0	0	0	0	0	0	9	0	5	0	0	0	0	0	5	0	0	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus_Udaeobacter	NA
Prok_ASV234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	62	0	0	0	0	0	62	0	0	57	0	0	0	0	0	0	29	54	76	47	37	54	0	68	0	52	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	NA
Prok_ASV235	0	0	0	105	81	91	39	50	85	113	74	70	56	26	36	42	51	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	NA	NA	NA
Prok_ASV236	59	32	54	26	56	63	34	101	0	0	0	0	0	0	0	0	95	0	0	85	62	0	0	109	0	52	0	23	0	69	0	70	0	74	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	NA	NA
Prok_ASV237	143	73	96	0	67	194	121	51	75	0	0	0	0	0	0	0	0	0	33	32	61	0	0	25	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Acidobacteria	Subgroup_6	NA	NA	NA	NA
Prok_ASV238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	21	17	9	19	33	29	38	38	41	42	20	0	22	25	0	0	0	25	12	0	0	42	55	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	NA
Prok_ASV239	8	18	16	0	0	0	0	0	0	28	28	28	56	61	73	46	44	41	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3	41	35	40	37	29	32	35	25	31	55	18	28	0	0	0	0	0	0	15	13	15	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	NA
Prok_ASV240	0	0	0	0	0	0	0	0	0	48	56	0	0	0	0	0	0	0	35	0	23	45	33	91	26	92	47	42	78	89	77	68	97	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	NA
Prok_ASV241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	129	84	0	0	0	107	216	0	0	0	0	0	0	22	16	21	0	0	0	0	0	0	0	0	0	0	0	0	0	8	20	0	0	0	0	0	38	0	0	0	113	0	0	11	25	0	0	26	0	0	0	0	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	NA
Prok_ASV242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	46	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	76	0	40	0	24	22	29	37	20	0	0	0	0	0	0	0	0	0	0	43	0	0	57	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Chloroflexi	TK10	NA	NA	NA	NA
Prok_ASV243	0	27	0	0	0	0	11	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	22	0	25	12	12	0	0	17	0	0	0	0	0	0	0	0	0	0	7	12	22	29	18	18	0	21	31	18	18	19	0	0	0	0	0	0	0	0	0	31	20	0	22	20	33	0	20	39	0	0	8	0	9	16	26	28	15	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	NA
Prok_ASV244	0	4	0	0	0	0	0	0	0	0	0	7	20	16	12	13	19	13	0	0	0	0	0	0	0	0	0	22	0	26	0	19	0	12	12	10	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	4	4	0	0	11	2	0	0	0	0	0	0	0	5	6	6	1	10	13	3	7	6	5	0	14	11	8	18	4	6	36	43	18	25	41	29	33	45	52	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	NA	NA
Prok_ASV245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	8	19	0	0	29	25	25	0	21	31	31	41	21	0	4	0	0	0	0	39	0	29	0	0	0	0	0	24	100	26	52	5	26	0	0	0	9	18	0	17	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	NA	NA
Prok_ASV246	0	9	0	0	0	0	0	0	0	12	18	20	17	24	22	22	0	12	19	0	0	14	19	0	0	0	0	8	26	28	43	26	0	0	12	5	0	0	0	0	19	0	0	0	0	20	21	18	17	12	19	7	12	13	0	0	0	0	0	0	0	0	0	20	15	13	13	16	18	0	13	11	8	0	0	0	0	0	0	0	12	8	7	11	10	12	2	14	9	4	Bacteria	Chloroflexi	JG30-KF-CM66	NA	NA	NA	NA
Prok_ASV247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	21	20	8	17	21	16	26	16	0	0	0	0	2	0	0	0	5	5	28	28	37	22	27	30	19	23	20	0	0	0	0	0	0	0	6	0	27	22	61	25	35	32	48	24	23	0	0	0	0	0	0	5	7	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Psychroglaciecola	NA
Prok_ASV248	58	27	52	19	44	29	57	70	43	0	0	0	0	0	0	0	0	0	62	85	51	0	0	0	0	0	0	34	24	38	40	42	36	34	30	46	0	0	0	18	25	27	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Acidobacteria	Blastocatellia_(Subgroup_4)	DS-100	NA	NA	NA
Prok_ASV249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	25	21	0	0	0	18	41	32	0	19	25	53	28	0	38	27	14	0	0	18	19	0	0	0	29	17	26	9	42	0	0	0	25	20	31	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Gordonia	NA
Prok_ASV250	0	0	23	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	124	0	16	0	0	0	0	0	0	0	0	53	0	0	36	0	0	0	0	0	53	0	32	54	70	0	0	0	0	0	0	0	0	0	34	15	12	26	28	16	32	35	17	0	0	0	0	0	0	0	0	0	14	8	15	8	16	17	0	22	11	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodoplanes	NA
Prok_ASV251	17	26	22	18	10	7	17	16	0	0	18	20	0	0	17	0	12	0	32	18	26	22	62	0	33	50	0	30	26	42	43	33	23	19	13	0	0	0	27	29	0	0	0	0	0	0	16	8	11	13	4	9	6	12	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	7	0	0	0	0	0	0	0	0	0	6	0	5	0	0	12	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidicaldus	NA
Prok_ASV252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	53	47	120	89	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Anaeromyxobacter	NA
Prok_ASV253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	33	0	0	0	32	0	41	0	0	0	0	0	0	16	10	0	42	0	16	26	30	0	21	0	26	0	12	0	0	0	0	0	0	0	38	0	37	42	0	0	60	21	0	0	36	0	0	0	0	34	0	33	Bacteria	Chloroflexi	TK10	NA	NA	NA	NA
Prok_ASV254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	10	0	0	0	25	39	25	30	23	0	35	41	28	0	0	0	0	0	0	0	0	23	17	35	22	22	31	0	23	27	35	10	6	14	24	0	20	0	20	14	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14	NA	NA
Prok_ASV255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	17	11	19	14	0	0	14	10	16	0	0	29	12	0	43	38	12	0	0	0	9	23	0	61	34	34	10	46	33	0	13	34	0	32	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	NA
Prok_ASV256	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	41	30	23	35	32	26	14	9	0	0	0	0	0	0	0	0	0	0	26	18	58	38	26	30	24	15	27	0	0	0	0	17	9	7	15	6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA
Prok_ASV257	0	0	0	55	0	86	0	113	0	30	0	0	0	0	0	0	81	0	39	112	0	102	67	113	0	141	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Caenimonas	NA
Prok_ASV258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	5	6	32	16	34	0	0	0	19	13	17	0	0	0	0	0	8	0	15	15	9	0	23	24	0	34	0	11	23	23	20	18	25	14	23	55	56	31	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	NA
Prok_ASV259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	10	0	0	0	12	3	3	55	39	32	11	43	48	7	26	6	0	0	6	3	0	5	16	17	24	14	20	32	6	19	16	29	17	20	Bacteria	Chloroflexi	AD3	NA	NA	NA	NA
Prok_ASV260	0	0	18	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	23	12	0	0	18	0	11	15	0	6	19	0	0	0	0	0	0	0	0	0	9	0	0	0	0	27	11	12	19	15	13	0	0	0	0	0	0	0	0	0	0	0	0	27	24	34	43	22	35	16	7	16	0	15	9	0	3	8	0	0	11	9	11	7	22	29	0	12	12	9	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA
Prok_ASV261	67	33	37	81	54	79	30	105	19	0	0	0	0	0	0	0	0	0	0	38	0	20	27	38	0	48	42	0	0	0	0	0	0	0	33	0	0	27	27	0	40	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Acidobacteria	Subgroup_6	NA	NA	NA	NA
Prok_ASV262	0	0	0	0	0	0	0	0	0	0	21	0	0	28	26	0	0	16	0	0	0	0	0	0	7	0	0	22	0	0	0	28	0	26	0	29	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	26	20	28	0	34	0	14	17	11	0	0	0	0	0	0	0	0	0	22	24	14	24	22	20	13	16	19	2	12	16	0	0	11	10	11	7	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA	NA
Prok_ASV263	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	13	13	20	13	6	15	20	15	12	16	16	14	22	4	8	38	39	12	5	3	18	7	21	2	28	20	15	7	34	27	0	20	19	10	21	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pirellula	NA
Prok_ASV264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	117	0	69	74	0	0	48	32	70	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	134	104	45	37	28	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	NA
Prok_ASV265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	56	78	63	0	70	0	62	0	0	56	36	0	80	39	0	0	0	Bacteria	Chloroflexi	NA	NA	NA	NA	NA
Prok_ASV266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	43	74	128	0	72	98	45	46	0	0	0	0	0	0	0	0	0	54	0	0	21	22	15	30	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	18	0	0	0	0	0	Bacteria	Chloroflexi	TK10	NA	NA	NA	NA
Prok_ASV267	0	0	0	0	0	0	0	0	0	53	46	34	37	47	43	0	38	18	0	0	0	0	0	0	38	0	46	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	16	0	31	0	0	0	0	32	20	0	0	0	0	0	0	0	0	0	14	22	0	0	0	24	0	0	55	0	16	0	0	0	16	0	0	25	24	0	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	NA	NA	NA
Prok_ASV268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	36	23	41	18	37	19	9	12	0	12	0	0	0	0	8	0	6	30	64	0	0	76	72	33	31	26	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Sinomonas	NA
Prok_ASV269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	54	27	20	0	0	40	23	40	0	15	0	24	7	0	32	15	20	23	0	47	0	0	0	48	35	33	12	22	0	0	0	19	0	20	0	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	NA	NA
Prok_ASV270	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	16	0	0	47	22	0	0	22	48	0	66	44	33	0	63	0	0	0	0	36	0	71	31	55	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	17	0	0	0	5	0	6	0	12	9	9	0	0	0	0	12	10	0	11	14	17	0	0	0	0	8	8	0	0	Bacteria	Acidobacteria	Blastocatellia_(Subgroup_4)	Blastocatellales	Blastocatellaceae	Aridibacter	NA
Prok_ASV271	0	0	0	15	0	0	0	0	23	11	14	12	38	19	26	19	0	22	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	26	24	0	0	41	30	35	0	0	66	0	63	0	0	0	0	0	0	38	22	34	46	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Chloroflexi	TK10	NA	NA	NA	NA
Prok_ASV272	36	19	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	49	34	54	67	80	40	64	49	65	50	71	50	51	47	46	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Acidobacteria	Subgroup_6	NA	NA	NA	NA
Prok_ASV273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	30	18	12	6	7	25	0	0	0	0	0	0	0	0	0	0	0	0	31	29	32	32	18	0	0	0	0	0	0	0	0	0	0	31	31	35	38	56	7	0	6	7	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae_(Subgroup_3)	Candidatus_Solibacter	NA
Prok_ASV274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	50	39	0	0	0	57	42	0	43	0	0	0	0	0	13	15	16	29	17	0	0	0	20	0	0	11	0	0	0	0	0	11	0	0	0	0	14	23	11	15	18	11	0	9	0	10	21	0	15	20	21	14	8	9	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	NA
Prok_ASV275	54	0	52	48	56	74	29	42	33	0	0	0	0	0	0	0	0	0	55	41	59	0	0	145	0	0	0	72	0	0	0	72	0	90	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	MND1	NA
Prok_ASV276	56	18	43	44	41	71	98	82	41	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	59	31	67	0	22	65	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Acidobacteria	Subgroup_6	NA	NA	NA	NA
Prok_ASV277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	13	14	9	14	16	10	16	18	7	16	8	19	27	7	12	37	31	0	8	13	14	8	18	0	36	26	38	8	19	12	5	14	19	13	27	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	NA
Prok_ASV278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	21	24	0	11	15	20	11	0	16	26	43	22	3	0	27	31	7	0	11	19	0	9	0	31	24	47	0	0	7	0	17	28	12	13	Bacteria	Chloroflexi	TK10	NA	NA	NA	NA
Prok_ASV279	37	0	0	20	0	0	0	0	0	33	0	0	0	0	44	0	24	0	0	0	0	0	0	0	0	38	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	14	9	20	0	16	13	3	0	0	0	0	0	0	0	0	35	0	0	0	29	0	21	27	50	16	0	0	9	14	19	36	0	17	10	8	0	Bacteria	Chloroflexi	NA	NA	NA	NA	NA
Prok_ASV280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	63	53	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	35	0	30	67	0	31	0	0	0	0	0	0	0	0	0	0	0	0	33	0	29	0	0	0	0	0	0	0	0	0	37	0	34	0	28	0	53	0	24	Bacteria	Chloroflexi	TK10	NA	NA	NA	NA
Prok_ASV281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	27	19	25	18	28	32	24	30	16	0	0	0	0	0	0	0	0	0	13	23	42	38	36	39	61	29	10	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Modestobacter	NA
Prok_ASV282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	6	0	0	30	0	51	56	70	0	0	0	44	15	0	0	44	45	27	38	52	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Janibacter	NA
Prok_ASV283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	95	103	39	75	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Chloroflexi	TK10	NA	NA	NA	NA
Prok_ASV284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	19	39	0	0	0	49	33	42	0	17	39	0	29	41	18	26	17	0	0	0	0	0	0	0	0	0	27	34	25	18	0	0	0	0	0	Bacteria	Chloroflexi	AD3	NA	NA	NA	NA
Prok_ASV285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	32	242	0	32	0	0	369	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Acidobacteria	Blastocatellia_(Subgroup_4)	Pyrinomonadales	Pyrinomonadaceae	RB41	NA
Prok_ASV286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	10	0	5	0	11	0	0	14	6	0	13	0	13	14	0	0	21	16	18	9	0	39	12	16	14	9	36	12	26	18	31	13	13	12	14	0	22	35	19	24	21	7	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	NA
Prok_ASV287	0	0	0	0	0	0	0	0	0	0	0	55	0	74	49	57	52	78	0	0	0	0	0	0	0	0	0	0	51	55	0	0	87	90	77	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Chloroflexi	NA	NA	NA	NA	NA
Prok_ASV288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	11	35	9	15	0	0	0	0	0	0	0	0	0	0	0	0	124	31	60	30	41	36	51	0	19	0	0	0	0	0	0	0	0	0	0	0	0	22	18	0	0	0	0	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	NA
Prok_ASV289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	35	0	13	0	6	3	0	0	0	25	20	24	7	9	6	17	19	13	0	0	0	0	0	19	13	8	0	24	25	43	19	36	46	57	32	24	5	12	0	11	0	3	10	8	9	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	NA
Prok_ASV290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	20	19	36	0	28	32	0	33	0	0	0	0	0	37	0	57	0	51	16	29	33	0	0	0	32	38	23	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA
