shannon	simpson	invsimpson	fisher
K01	7.51167383065853	0.99217947531989	127.868658549643	52.2959540209976
K02	7.55009613599748	0.992419115928661	131.910736345481	53.9362988037928
K03	7.43543616981246	0.988919158003885	90.2458495798983	55.5883349041358
K04	7.13061081163913	0.972505826405471	36.3713423341078	56.2999027052574
K05	7.06252659533196	0.977479856083581	44.4046895841962	49.9731158378096
K06	6.93674661218597	0.975183568142406	40.2958816053156	45.1751939632782
K07	6.82295671790207	0.971677585034037	35.307723624619	45.1751939632782
K08	7.15519555243484	0.987956052618872	83.0292568005478	42.0382907535584
K09	6.89544814502347	0.968467913909828	31.7137279512786	46.3075869984663
K10	7.36438582269105	0.985746696719564	70.1591750575165	55.1151378589023
K11	7.50415124162107	0.992076315706877	126.203917648245	50.4357396432257
K12	7.54595921623066	0.988879753688185	89.926065660749	62.0680747954457
K13	7.45544107394004	0.991903144615504	123.504737643553	51.3639103522838
K14	7.70270191262611	0.993540762566293	154.817036881405	59.889372364197
K15	7.78346290032461	0.993494216579305	153.709389835975	67.2234666174547
K16	7.54234373782449	0.991177215866418	113.342906826173	56.062477553621
K17	7.43475330353954	0.99198253074054	124.727637567182	46.5348193470863
K18	7.73141178126792	0.991937197490186	124.026354209069	70.2137874857571
K19	7.52058229910711	0.992233932969679	128.765306312146	52.5295687478653
K20	7.36971427648494	0.988755669555794	88.9337079661546	49.7421796172654
K21	7.29019399685589	0.99134817323219	115.582526885608	39.3898964188225
K22	7.61563289474865	0.992995262078595	142.760515985067	54.4071207938338
K23	7.76241546009335	0.99391653767464	164.380076100973	60.371917464033
K24	7.37294940393987	0.992287716876892	129.663289591094	42.4833401312381
K25	7.63695437440265	0.991748934565149	121.19646946153	63.5308475525286
K26	7.34210120129278	0.991626890910268	119.429950008219	43.8246693905255
K27	7.46486418173451	0.991981914747329	124.71805530714	49.7421796172654
K28	7.56681593366167	0.992192565175619	128.083041676786	55.1151378589023
K29	7.86811253262332	0.994059197852293	168.327437126661	66.4809020612561
K30	7.50106368945173	0.991691627946761	120.360522325209	54.642888925671
K31	7.01534975800039	0.989714847984089	97.2275371771825	31.4685617092774
K32	7.38756469163016	0.991488831431908	117.492679412906	48.361654475663
K33	7.20569114975293	0.990682881314788	107.329318621562	39.6091500443043
K34	7.09870664929784	0.985356137774158	68.2879956515366	43.6004733345563
K35	7.71631718655648	0.992048730760908	125.766084625022	64.2653042224251
K36	7.63451834510021	0.99141142803502	116.433791796524	59.889372364197
K37	7.58895452003401	0.992677313332906	136.561899404185	57.9684602216711
K38	8.10298965630446	0.994816215008734	192.90923556531	85.6357521888247
K39	7.6930458649311	0.993045985269543	143.801823660248	62.0680747954457
K40	7.44532187933681	0.991661290281131	119.92262996483	51.8294477624244
K41	7.62522861348979	0.993119115213532	145.330147362237	55.3516180250279
K42	7.12334416467571	0.990098900501206	100.998884025131	37.2119688013802
K43	6.95530168220635	0.981801471952352	54.9494990683725	39.6091500443043
K44	7.23697270285227	0.990109738131758	101.109557393114	42.9294221685422
K45	7.06673281322075	0.989682854836705	96.9260375978499	36.1331480993308
K46	7.21329051560805	0.989606317680269	96.2122921634448	42.9294221685422
K47	7.49304121154689	0.991789416868968	121.794029003924	55.825288183795
K48	8.52806423683864	0.995281732627974	211.942206990811	154.324448843401
K49	8.55620715832332	0.99501720204353	200.69045719617	163.092805224149
K50	8.68268962550114	0.995260731109444	211.00300976651	189.94329849164
K51	8.89969566873003	0.995060475566586	202.448639232429	242.400551745281
K52	8.72455607726149	0.995899015574512	243.843891185009	171.366189785528
K53	9.17306141686642	0.996911535164901	323.785457627859	268.347600053434
K54	8.39993455097129	0.995435057188088	219.060794669872	117.284508673035
M01	8.57467853610032	0.996468405048915	283.158180326663	128.90974135742
M02	8.35042847584466	0.995688018650041	231.91194925034	110.178019578428
M03	8.68344704157651	0.996466095074375	282.973090970495	146.314519707337
M04	8.45031048398542	0.995945946557257	246.66670386154	121.607424805984
M05	8.37734312490369	0.99576470980478	236.111329780586	108.490890593133
M06	8.25060749749476	0.995498542988371	222.150294319516	97.1554733901789
M07	8.40035713800929	0.995648056090494	229.782373301191	122.477286537261
M08	8.37213041155332	0.995422275328965	218.449136167431	116.71145290503
M09	8.42275998592602	0.995655775255416	230.190668944264	121.607424805984
M10	7.05883806857754	0.983055345382629	59.0156614331245	65.7402951538729
M11	8.33418739487627	0.993772799508869	160.585804395438	152.77417670139
M12	7.76731571383278	0.990633563358352	106.7641877332	93.3629140974455
M13	7.91002968090542	0.992389702252848	131.400903515795	93.9022382784786
M14	8.18119203028991	0.992656311814377	136.171358957993	132.457827822741
M15	7.78839574575162	0.99212663465228	127.01049117321	84.8464027029355
M16	7.99882792924372	0.994044221517357	167.904162808324	90.9461584330413
M17	8.5768579916202	0.994455608733201	180.362451327756	169.126340718897
M18	8.27703066195068	0.99486322299063	194.674598133398	105.973661384937
M19	8.75512228523657	0.996674358528973	300.693868750452	159.316925809761
M20	8.42864746109927	0.99590775497819	244.364644509412	115.282255705345
M21	8.13319461862227	0.994819025477758	193.013881019304	93.6324733505875
M22	8.51921531473434	0.995916455882292	244.885318041149	132.754754016291
M23	8.53467480713581	0.99603505382515	252.210233355261	137.531686668575
M24	8.5006839815911	0.995560546554991	225.252953406744	133.944381553181
M25	7.5840686221717	0.993163370475767	146.270906805086	56.062477553621
M26	8.36760259999359	0.993551099702361	155.065197761868	140.542155626263
M27	8.43776379537059	0.99537028165202	215.995860835941	125.974255517805
M28	8.51725725964566	0.994421652107459	179.264545572187	166.259950410845
