shannon	simpson	invsimpson	fisher
K01	4.05499329791623	0.818859604108749	5.52057974191665	32.2173098702834
K02	4.73366266219881	0.894164857555383	9.44865738262027	49.1866943815516
K03	3.70016675714014	0.749306150008907	3.98892912624514	39.0849681717274
K04	5.75491879288806	0.937087846323745	15.8951798907726	56.4754218750438
K05	5.5286485198422	0.934431298189174	15.2511788762437	50.9231101294192
K06	5.37157205536347	0.913995215444809	11.6272601015387	46.9759374053554
K07	3.94136115169341	0.756382867606612	4.10480162119805	54.6933052964854
K08	5.04624285680974	0.888446092025993	8.96427582109459	50.6741628534909
K09	3.15754091676427	0.681881926439946	3.14348690977855	17.2545313959833
K10	3.51831629312557	0.795200888955756	4.88283369444882	30.8804140351823
K11	5.97017350762592	0.96701788314544	30.3194608281107	47.2203572788803
K12	5.83019126840011	0.962312783898569	26.5341965643898	46.0013271490308
K13	5.96296432913019	0.970642828997945	34.0632276839617	36.9932106489432
K14	6.25473424378786	0.974934708397735	39.8958055572602	47.4650831511309
K15	5.86034556555539	0.961112520243263	25.715217500737	40.4940430807436
K16	5.81587285590219	0.963373886043747	27.3029238426555	44.548671633031
K17	5.76759368112469	0.950657159732105	20.2663647769513	41.9146547969216
K18	4.9827158642952	0.892548053193045	9.30648564047494	38.1519966546557
K19	6.05273656960145	0.954504113811393	21.9800092662098	59.3046946288502
K20	5.70759713732899	0.949657406104957	19.86389501671	49.1866943815516
K21	5.99237337704388	0.950244569100593	20.0983085046888	62.9558853166769
K22	5.95945069651	0.964228850177061	27.9554894083593	42.629248479213
K23	5.80757109211161	0.962214975833927	26.4655117224432	41.677090281976
K24	5.94013612600042	0.961369589759838	25.8863417132535	61.6454668041195
K25	6.03965273193787	0.96548871452937	28.9760287501037	49.9290739858529
K26	5.84203970801383	0.958032055596928	23.8277097966896	51.1724040337131
K27	6.62341271302276	0.983986358886104	62.4467597898291	43.8265393731248
K28	6.12526042800349	0.961691083959449	26.1035837960406	56.7311781699
K29	5.80238190656886	0.94233508469661	17.3415671338239	49.6813259450271
K30	6.08103528466166	0.961610229758764	26.0486060144705	66.9295593130948
K31	6.37877470646872	0.977857869151686	45.1627716794993	57.7571157172612
K32	5.75320669065586	0.954473596856271	21.965275772895	53.6814093325776
K33	6.2336493852257	0.973267531833414	37.4076944099738	59.0460435202112
K34	6.31270246213631	0.9721406417048	35.8945812535919	64.5377416812279
K35	6.04932415734018	0.958103541476911	23.8683658536178	49.9290739858529
K36	5.68854348944534	0.941382522237177	17.0597582524138	46.9759374053554
K37	7.17221442764952	0.98178899829161	54.9118613030107	140.628548605206
K38	6.17276840467479	0.961179776396362	25.7597691917025	79.5040874001464
K39	6.01877121445269	0.956654737671639	23.0705721060016	65.0673049679208
K40	6.38342633687896	0.974006335781308	38.4709132035688	63.4820395967091
K41	5.63118945302622	0.924912979486734	13.3178809488561	53.6814093325776
K42	6.10782558840041	0.960656373911771	25.417077667358	64.8023633437614
K43	4.54006150552633	0.803603923061197	5.09175140148854	86.0063520284782
K44	5.80232713846828	0.927524084274616	13.7976869970029	97.9442742534464
K45	6.23859928516318	0.932623282206539	14.8419221468376	91.4837209175962
K46	5.75168300358009	0.96450070625952	28.1695745078923	43.3466809900625
K47	5.16605429226457	0.949037733638228	19.6223612368644	38.851252947961
K48	5.15810031047972	0.915951726301854	11.8979243237218	27.5937889095897
K49	5.67857930063693	0.965919342673875	29.3421570608453	25.448090748119
K50	5.78707909424492	0.966116741580606	29.5131001753842	34.9282187971726
K51	5.67268314963266	0.965021172404786	28.5887226287949	31.3246538123265
K52	4.99623805504148	0.930758427084123	14.442190693948	25.6609888294787
K53	5.14989996249946	0.927591759904762	13.810582865772	30.4375756226822
K54	5.76428434432193	0.960980280104399	25.6280671074921	51.6718130136917
M01	6.09095559731935	0.96037773628373	25.2383358800714	62.430865237036
M02	5.63962282952647	0.921963985938011	12.8145960813123	61.6454668041195
M03	4.83287666238722	0.876707306535089	8.11078071130466	39.553370116938
M04	5.38784334862893	0.948776154743404	19.5221579908869	35.6135560664984
M05	5.80699582607266	0.963172746800019	27.1538035858868	38.6178013419964
M06	5.72287286755091	0.954232397554617	21.8495168322034	41.4398433754639
M07	5.76630687659716	0.95267508902002	21.1305204657023	46.4880174969851
M08	5.04964956931264	0.857275696534644	7.00651518851329	49.4338353635853
M09	4.89392541169561	0.903425512482099	10.3547015956428	38.851252947961
M10	5.12509939541931	0.895045269962843	9.52791741397429	48.447037563541
M11	5.20959623127717	0.916737861243145	12.01026078516	47.7101145661583
M12	5.08754340113142	0.880748303704737	8.38562495181653	49.4338353635853
M13	4.79385513526215	0.842591727744855	6.35290627152737	50.6741628534909
M14	6.17135415374766	0.965785494539667	29.2273696943937	53.9339413071837
M15	5.01663279441363	0.850464437994441	6.687372465707	50.9231101294192
M16	4.70381807916432	0.83603446255622	6.0988425713719	50.9231101294192
M17	4.60945959517194	0.810143430388203	5.26713403726149	50.9231101294192
M18	4.78057435609441	0.859805317906272	7.13293817615311	45.7584442405049
M19	5.68791231475363	0.943444286876437	17.6816796176753	53.6814093325776
M20	6.11286158023066	0.972595949082198	36.4909554065381	51.6718130136917
M21	5.49521540844006	0.946050637591128	18.535900246998	41.2029146360015
M22	6.16912098297017	0.947324834075854	18.9842781214973	65.8636794085195
M23	6.03948705115808	0.970442318969787	33.8321534418693	46.9759374053554
M24	5.30473255458431	0.945259608750962	18.2680462667972	36.9932106489432
M25	3.50513944027344	0.737982751663157	3.81654263735502	21.6813659621279
M26	4.87333730173001	0.917468170780851	12.1165374554425	30.8804140351823
