Model,BIC,delta,Farming,Moisture,Carbon,Nitrogen,pH,Moisture (dev),Carbon (dev),Nitrogen (dev),pH (dev)
Prok_within_1,252.34,0.00,−0.26,,,0.23,,,,,0.35
Prok_within_2,252.39,0.05,,,,0.24,0.26,,,,0.30
Prok_within_3,253.47,1.13,−0.31,,−0.19,0.29,,,,,0.31
Prok_within_4,253.59,1.25,−0.28,,,,,,,,0.38
Prok_within_5,253.65,1.31,,,−0.19,0.30,0.30,,,,0.25
