term	estimate	std.error	statistic	p.value	lower	upper	estimate_signif
scale(Farming)	-0.246472850621106	0.106929577615374	-2.30500162927482	0.0237585799140288	-0.45605097162932	-0.0368947296128917	−0.25*
scale(Moisture)	0.829460435029463	0.0968333018909024	8.56585925329675	6.26729296545911e-13	0.6396706508192	1.01925021923973	0.83***
scale(Carbon)	-0.198103618893525	0.115489944742478	-1.7153321818212	0.0901553278203643	-0.424459751165304	0.028252513378253	−0.20
scale(Nitrogen)	0.0558732170540411	0.0948726314471028	0.588928716341063	0.557568408514795	-0.130073723700823	0.241820157808905	0.06
scale(pH)	-0.192261804277159	0.108623257579276	-1.76998746457996	0.0805393384326359	-0.405159477015957	0.0206358684616391	−0.19
scale(Moisture_absdev_across)	-0.161949842218959	0.104308553506485	-1.55260366264106	0.124465164987848	-0.366390850371139	0.0424911659332201	−0.16
scale(Carbon_absdev_across)	-0.00125768918540461	0.0721256044571345	-0.0174374855485902	0.986131020583478	-0.14262127628457	0.14010589791376	−0.00
scale(Nitrogen_absdev_across)	-0.106939817822509	0.0743116967349577	-1.43907113578531	0.154031618623906	-0.252588067053089	0.0387084314080709	−0.11
scale(pH_absdev_across)	0.0221171266256891	0.0794840305765192	0.278258745376494	0.781531675060539	-0.133668710650369	0.177902963901747	0.02
