term	estimate	std.error	statistic	p.value	lower	upper	estimate_signif
scale(Farming)	-0.124080303826334	0.147417283875699	-0.841694410344435	0.402468094719772	-0.413012870921421	0.164852263268752	−0.12
scale(Moisture)	-0.542119570631944	0.129786220605737	-4.17701947172642	7.47656577941046e-05	-0.796495888708759	-0.28774325255513	−0.54***
scale(Carbon)	0.0599408296444564	0.122039005118123	0.49116124460732	0.624657161009918	-0.179251225096164	0.299132884385077	0.06
scale(Nitrogen)	0.0714475709572978	0.114686186573332	0.622983230082491	0.535067511922157	-0.153333224250675	0.29622836616527	0.07
scale(pH)	0.279411518198264	0.134092803848265	2.08371747162836	0.0403781323453655	0.0165944520696709	0.542228584326856	0.28*
scale(Moisture_absdev_within)	0.0901704975869079	0.114956058977325	0.784390995908217	0.435127220649163	-0.135139237813312	0.315480232987127	0.09
scale(Carbon_absdev_within)	0.0804880961860455	0.107439211073147	0.749150104343634	0.455963914487962	-0.130088888044719	0.29106508041681	0.08
scale(Nitrogen_absdev_within)	-0.039347339481901	0.0998154405857671	-0.394200929745849	0.694481551265816	-0.234982008131002	0.1562873291672	−0.04
scale(pH_absdev_within)	0.222360327050365	0.0991471090796693	2.24273132231912	0.0276811599365661	0.0280355640829488	0.416685090017781	0.22*
