"","Site","r","p.value"
"1","D",0.180469359041371,0.473611176741849
"2","E",-0.357445205894068,0.145319395724858
"3","F",-0.443999230565886,0.0849157159353185
"4","G",-0.907468764175912,0.0333153876913308
"5","H",-0.706228801536394,0.0224448720697719
"6","All",-0.272336059902019,0.025777939126485
