Similarity	Repl	RichDiff	comb	landuse	site	country	relation
0.235033259423503	0.416851441241685	0.348115299334812	K51_M13	Farm_Farm	F_G	Kenya_Malawi	diff_site_diff_country
0.182672934855608	0.592343854936199	0.224983210208193	K51_M14	Farm_Farm	F_G	Kenya_Malawi	diff_site_diff_country
0.24109173616376	0.376042456406368	0.382865807429871	K51_M15	Farm_Farm	F_G	Kenya_Malawi	diff_site_diff_country
0.214605067064083	0.426229508196721	0.359165424739195	K51_M16	Farm_Farm	F_G	Kenya_Malawi	diff_site_diff_country
0.167910447761194	0.697761194029851	0.134328358208955	K51_M17	Farm_Farm	F_G	Kenya_Malawi	diff_site_diff_country
0.187544738725841	0.506800286327845	0.305654974946314	K51_M18	Farm_Farm	F_G	Kenya_Malawi	diff_site_diff_country
0.133164235890932	0.710209258084971	0.156626506024096	K51_M19	Farm_Natural	F_H	Kenya_Malawi	diff_site_diff_country
0.116083916083916	0.608391608391608	0.275524475524476	K51_M20	Farm_Natural	F_H	Kenya_Malawi	diff_site_diff_country
0.11094674556213	0.539940828402367	0.349112426035503	K51_M21	Farm_Natural	F_H	Kenya_Malawi	diff_site_diff_country
0.103355704697987	0.67248322147651	0.224161073825503	K51_M22	Farm_Natural	F_H	Kenya_Malawi	diff_site_diff_country
0.111553784860558	0.677290836653386	0.211155378486056	K51_M23	Farm_Natural	F_H	Kenya_Malawi	diff_site_diff_country
0.0977242302543507	0.681392235609103	0.220883534136546	K51_M24	Farm_Natural	F_H	Kenya_Malawi	diff_site_diff_country
0.0913621262458472	0.393687707641196	0.514950166112957	K51_M25	Farm_Natural	F_H	Kenya_Malawi	diff_site_diff_country
0.0936675461741425	0.703166226912929	0.203166226912929	K51_M26	Farm_Natural	F_H	Kenya_Malawi	diff_site_diff_country
0.107702794819359	0.648943421949557	0.243353783231084	K51_M27	Farm_Natural	F_H	Kenya_Malawi	diff_site_diff_country
0.181363352095059	0.677923702313946	0.140712945590994	K51_M28	Farm_Farm	F_H	Kenya_Malawi	diff_site_diff_country
0.210294117647059	0.448529411764706	0.341176470588235	K51_M29	Farm_Farm	F_H	Kenya_Malawi	diff_site_diff_country
0.168876482903001	0.558269364968597	0.272854152128402	K51_M30	Farm_Farm	F_H	Kenya_Malawi	diff_site_diff_country
0.232204561161023	0.507256392536282	0.260539046302695	K51_M31	Farm_Farm	F_H	Kenya_Malawi	diff_site_diff_country
0.218100890207715	0.428783382789317	0.353115727002967	K51_M32	Farm_Farm	F_H	Kenya_Malawi	diff_site_diff_country
0.21948051948052	0.596103896103896	0.184415584415584	K51_M33	Farm_Farm	F_H	Kenya_Malawi	diff_site_diff_country
0.15426251691475	0.611637347767253	0.234100135317997	K51_M34	Farm_Farm	F_H	Kenya_Malawi	diff_site_diff_country
0.164513936097893	0.595513256288239	0.239972807613868	K51_M35	Farm_Farm	F_H	Kenya_Malawi	diff_site_diff_country
0.168350168350168	0.603367003367003	0.228282828282828	K51_M36	Farm_Farm	F_H	Kenya_Malawi	diff_site_diff_country
0.527876631079478	0.306049822064057	0.166073546856465	K52_K53	Farm_Farm	F_F	Kenya_Kenya	within_site
0.504885993485342	0.350162866449511	0.144951140065147	K52_K54	Farm_Farm	F_F	Kenya_Kenya	within_site
0.203470031545741	0.687697160883281	0.108832807570978	K52_M01	Farm_Natural	F_G	Kenya_Malawi	diff_site_diff_country
0.186201163757273	0.645054031587697	0.168744804655029	K52_M02	Farm_Natural	F_G	Kenya_Malawi	diff_site_diff_country
0.180995475113122	0.75867269984917	0.0603318250377074	K52_M03	Farm_Natural	F_G	Kenya_Malawi	diff_site_diff_country
0.157683024939662	0.711182622687047	0.13113435237329	K52_M04	Farm_Natural	F_G	Kenya_Malawi	diff_site_diff_country
0.155388471177945	0.67000835421888	0.174603174603175	K52_M05	Farm_Natural	F_G	Kenya_Malawi	diff_site_diff_country
0.147058823529412	0.636678200692042	0.216262975778547	K52_M06	Farm_Natural	F_G	Kenya_Malawi	diff_site_diff_country
0.181380417335473	0.690208667736758	0.128410914927769	K52_M07	Farm_Natural	F_G	Kenya_Malawi	diff_site_diff_country
0.169657422512235	0.68352365415987	0.146818923327896	K52_M08	Farm_Natural	F_G	Kenya_Malawi	diff_site_diff_country
