Similarity	Repl	RichDiff	comb	landuse	site	country	relation
0.047808764940239	0.788844621513944	0.163346613545817	K09_K52	Natural_Farm	D_F	Kenya_Kenya	diff_site_within_country
0.0586080586080586	0.710622710622711	0.230769230769231	K09_K53	Natural_Farm	D_F	Kenya_Kenya	diff_site_within_country
0.0385674931129476	0.539944903581267	0.421487603305785	K09_K54	Natural_Farm	D_F	Kenya_Kenya	diff_site_within_country
0.0148148148148148	0.503703703703704	0.481481481481481	K09_M01	Natural_Natural	D_G	Kenya_Malawi	diff_site_diff_country
0.0149253731343284	0.507462686567164	0.477611940298507	K09_M02	Natural_Natural	D_G	Kenya_Malawi	diff_site_diff_country
0.0191693290734825	0.651757188498403	0.329073482428115	K09_M03	Natural_Natural	D_G	Kenya_Malawi	diff_site_diff_country
0.0337837837837838	0.675675675675676	0.29054054054054	K09_M04	Natural_Natural	D_G	Kenya_Malawi	diff_site_diff_country
0.0258899676375405	0.653721682847896	0.320388349514563	K09_M05	Natural_Natural	D_G	Kenya_Malawi	diff_site_diff_country
0.0124610591900312	0.641744548286604	0.345794392523364	K09_M06	Natural_Natural	D_G	Kenya_Malawi	diff_site_diff_country
0.0292397660818714	0.584795321637427	0.385964912280702	K09_M07	Natural_Natural	D_G	Kenya_Malawi	diff_site_diff_country
0.0169491525423728	0.576271186440678	0.406779661016949	K09_M08	Natural_Natural	D_G	Kenya_Malawi	diff_site_diff_country
0.0193548387096775	0.658064516129032	0.32258064516129	K09_M09	Natural_Natural	D_G	Kenya_Malawi	diff_site_diff_country
0.0171428571428571	0.582857142857143	0.4	K09_M10	Natural_Farm	D_G	Kenya_Malawi	diff_site_diff_country
0.0288184438040345	0.576368876080692	0.394812680115274	K09_M11	Natural_Farm	D_G	Kenya_Malawi	diff_site_diff_country
0.0282485875706214	0.564971751412429	0.406779661016949	K09_M12	Natural_Farm	D_G	Kenya_Malawi	diff_site_diff_country
0.0222841225626741	0.562674094707521	0.415041782729805	K09_M13	Natural_Farm	D_G	Kenya_Malawi	diff_site_diff_country
0.032258064516129	0.532258064516129	0.435483870967742	K09_M14	Natural_Farm	D_G	Kenya_Malawi	diff_site_diff_country
0.0222222222222223	0.561111111111111	0.416666666666667	K09_M15	Natural_Farm	D_G	Kenya_Malawi	diff_site_diff_country
0.0166666666666667	0.566666666666667	0.416666666666667	K09_M16	Natural_Farm	D_G	Kenya_Malawi	diff_site_diff_country
0.0166666666666667	0.566666666666667	0.416666666666667	K09_M17	Natural_Farm	D_G	Kenya_Malawi	diff_site_diff_country
0.023598820058997	0.595870206489675	0.380530973451327	K09_M18	Natural_Farm	D_G	Kenya_Malawi	diff_site_diff_country
0.0215633423180593	0.544474393530997	0.433962264150943	K09_M19	Natural_Natural	D_H	Kenya_Malawi	diff_site_diff_country
0.0275482093663911	0.550964187327824	0.421487603305785	K09_M20	Natural_Natural	D_H	Kenya_Malawi	diff_site_diff_country
0.03125	0.625	0.34375	K09_M21	Natural_Natural	D_H	Kenya_Malawi	diff_site_diff_country
0.0191387559808612	0.483253588516746	0.497607655502392	K09_M22	Natural_Natural	D_H	Kenya_Malawi	diff_site_diff_country
0.0116279069767442	0.598837209302326	0.38953488372093	K09_M23	Natural_Natural	D_H	Kenya_Malawi	diff_site_diff_country
0.0198675496688742	0.675496688741722	0.304635761589404	K09_M24	Natural_Natural	D_H	Kenya_Malawi	diff_site_diff_country
0.00862068965517238	0.896551724137931	0.0948275862068965	K09_M25	Natural_Natural	D_H	Kenya_Malawi	diff_site_diff_country
0.0145454545454545	0.749090909090909	0.236363636363636	K09_M26	Natural_Natural	D_H	Kenya_Malawi	diff_site_diff_country
0	0.878661087866109	0.121338912133891	K09_M27	Natural_Natural	D_H	Kenya_Malawi	diff_site_diff_country
0.0354609929078015	0.709219858156028	0.25531914893617	K09_M28	Natural_Farm	D_H	Kenya_Malawi	diff_site_diff_country
0.0161290322580645	0.548387096774194	0.435483870967742	K09_M29	Natural_Farm	D_H	Kenya_Malawi	diff_site_diff_country
0.05	0.9	0.05	K09_M30	Natural_Farm	D_H	Kenya_Malawi	diff_site_diff_country
0.0155844155844156	0.52987012987013	0.454545454545455	K09_M31	Natural_Farm	D_H	Kenya_Malawi	diff_site_diff_country
0.0214477211796247	0.541554959785523	0.436997319034853	K09_M32	Natural_Farm	D_H	Kenya_Malawi	diff_site_diff_country
0.0231884057971015	0.585507246376812	0.391304347826087	K09_M33	Natural_Farm	D_H	Kenya_Malawi	diff_site_diff_country
0.0155844155844156	0.52987012987013	0.454545454545455	K09_M34	Natural_Farm	D_H	Kenya_Malawi	diff_site_diff_country
0.0156657963446475	0.532637075718016	0.451697127937337	K09_M35	Natural_Farm	D_H	Kenya_Malawi	diff_site_diff_country
0.0233236151603499	0.588921282798834	0.387755102040816	K09_M36	Natural_Farm	D_H	Kenya_Malawi	diff_site_diff_country
0.346341463414634	0.482926829268293	0.170731707317073	K10_K11	Farm_Farm	D_D	Kenya_Kenya	within_site
0.355555555555556	0.483950617283951	0.160493827160494	K10_K12	Farm_Farm	D_D	Kenya_Kenya	within_site
0.283378746594005	0.643051771117166	0.0735694822888283	K10_K13	Farm_Farm	D_D	Kenya_Kenya	within_site
0.29683698296837	0.530413625304136	0.172749391727494	K10_K14	Farm_Farm	D_D	Kenya_Kenya	within_site
0.298429319371728	0.591623036649215	0.109947643979058	K10_K15	Farm_Farm	D_D	Kenya_Kenya	within_site
0.320802005012531	0.531328320802005	0.147869674185464	K10_K16	Farm_Farm	D_D	Kenya_Kenya	within_site
0.304123711340206	0.572164948453608	0.123711340206186	K10_K17	Farm_Farm	D_D	Kenya_Kenya	within_site
0.354838709677419	0.559139784946237	0.0860215053763441	K10_K18	Farm_Farm	D_D	Kenya_Kenya	within_site
0.165938864628821	0.576419213973799	0.25764192139738	K10_K19	Farm_Natural	D_E	Kenya_Kenya	diff_site_within_country
0.191387559808612	0.62200956937799	0.186602870813397	K10_K20	Farm_Natural	D_E	Kenya_Kenya	diff_site_within_country
0.144067796610169	0.576271186440678	0.279661016949153	K10_K21	Farm_Natural	D_E	Kenya_Kenya	diff_site_within_country
0.148337595907928	0.721227621483376	0.130434782608696	K10_K22	Farm_Natural	D_E	Kenya_Kenya	diff_site_within_country
