K01	K02	K03	K04	K05	K06	K07	K08	K09	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K20	K21	K22	K23	K24	K25	K26	K27	K28	K29	K30	K31	K32	K33	K34	K35	K36	K37	K38	K39	K40	K41	K42	K43	K44	K45	K46	K47	K48	K49	K50	K51	K52	K53	K54	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36	Kingdom	Phylum	Class	Order	Family	Genus	Species	jrk_template	COMMENT.on.genus	primary_lifestyle	Secondary_lifestyle	Comment_on_lifestyle_template	Endophytic_interaction_capability_template	Plant_pathogenic_capacity_template	Decay_substrate_template	Decay_type_template	Aquatic_habitat_template	Animal_biotrophic_capacity_template	Specific_hosts	Growth_form_template	Fruitbody_type_template	Hymenium_type_template	Ectomycorrhiza_exploration_type_template	Ectomycorrhiza_lineage_template	primary_photobiont	secondary_photobiont
Fung_ASV11	0	9	0	17	47	24	0	7	0	158	598	367	346	333	237	518	365	171	26	41	42	0	20	53	26	72	17	141	176	253	210	99	259	127	168	62	244	177	167	143	57	50	27	6	23	41	862	100	185	226	112	21	30	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	intricans	NA	NA	plant_pathogen	litter_saprotroph	hypervariable,_saprotroph,damping-off_pathogen	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed,roots,soil,animal_material	soft_rot	partly_aquatic	opportunistic_human_parasite	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Fung_ASV12	0	0	0	0	0	0	0	0	0	2956	623	863	289	447	178	114	93	81	0	21	34	0	34	29	0	0	0	20	0	19	44	33	36	54	67	97	0	20	29	22	68	87	0	15	16	50	1	12	95	128	95	78	69	834	24	0	0	0	4	0	0	0	0	18	30	11	12	42	32	27	85	86	260	107	86	11	0	7	206	13	0	31	0	0	173	44	172	16	6	17	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA	jrk00692	NA	unspecified_saprotroph	foliar_endophyte	hypervariable,_saprotroph_animal_pathogen_endophyte	foliar_endophyte	NA	leaf/fruit/seed,soil,dung,animal_material	mold	partly_aquatic	animal_parasite/opportunistic_human_parasite	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Fung_ASV13	0	2	0	0	6	0	0	0	0	19	232	337	52	326	846	697	1302	761	0	0	0	0	0	0	0	4	0	413	238	187	214	53	305	493	225	173	20	21	11	10	0	16	2	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	137	0	37	0	13	166	75	156	0	0	0	0	0	0	0	0	0	0	5	0	115	131	314	51	47	251	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Cumuliphoma	omnivirens	jrk02248	NA	unspecified_saprotroph	NA	NA	NA	NA	NA	NA	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Fung_ASV14	181	657	76	153	0	156	24	76	17	13	15	0	0	0	16	13	30	62	5	84	52	782	576	670	830	837	272	31	0	17	0	3	10	9	0	0	54	0	120	258	28	103	11	42	43	0	0	0	0	8	0	0	7	0	0	0	0	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	5	14	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Montagnula	NA	jrk05281	NA	wood_saprotroph	NA	NA	no_endophytic_capacity	NA	wood	NA	non-aquatic	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Fung_ASV15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397	107	1198	1215	166	1606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	NA	jrk00567	NA	soil_saprotroph	root-associated	NA	root-associated	root-associated	roots,soil	NA	non-aquatic	NA	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Fung_ASV16	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	16	36	27	0	0	0	0	0	0	0	0	0	10	0	0	4	0	0	0	13	0	30	18	0	0	0	0	0	0	0	16	800	37	41	93	30	0	16	6	5	6	0	0	0	0	0	0	0	9	97	100	247	17	70	183	64	219	0	0	0	7	0	5	0	0	0	0	13	0	173	248	129	92	148	38	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Epicoccum	NA	jrk02990	NA	plant_pathogen	litter_saprotroph	NA	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed	NA	partly_aquatic	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Fung_ASV17	0	0	0	0	32	0	0	0	0	0	32	0	26	43	17	31	23	25	0	0	0	0	0	38	35	17	30	245	123	0	264	0	199	86	0	175	12	0	0	50	82	10	0	2	3	5	21	0	24	0	0	13	18	24	0	0	0	142	0	0	0	210	0	0	7	0	0	0	0	0	8	0	310	0	71	0	6	0	534	1112	1208	26	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	jrk06287	NA	unspecified_saprotroph	foliar_endophyte	toxin-producing,animal_parasite_some_species,mycoparasite_some_species	foliar_endophyte	NA	soil	mold	partly_aquatic	opportunistic_human_parasite	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Fung_ASV18	61	49	13	234	946	80	15	256	64	11	53	49	66	103	74	113	261	34	76	1061	208	212	239	755	226	466	152	26	28	50	129	98	82	65	106	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	5	0	0	0	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	rishikesha	jrk05302	NA	soil_saprotroph	root-associated	NA	root-associated	root-associated	roots,soil	chitinolytic	partly_aquatic	opportunistic_human_parasite	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Fung_ASV19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0	0	0	7	0	0	0	0	1618	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	NA	jrk05302	NA	soil_saprotroph	root-associated	NA	root-associated	root-associated	roots,soil	chitinolytic	partly_aquatic	opportunistic_human_parasite	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Fung_ASV20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	10	24	90	138	245	131	22	181	51	56	48	109	121	86	8	14	15	18	5	26	0	0	0	0	0	0	426	483	323	685	636	206	27	28	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	stylospora	jrk05302	NA	soil_saprotroph	root-associated	NA	root-associated	root-associated	roots,soil	chitinolytic	partly_aquatic	opportunistic_human_parasite	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
