Sample	ECM	Pathotroph	Saprotroph	plant_pat_cap	animal_pat_cap	dung_saprotroph	litter_saprotroph	soil_saprotroph	wood_saprotroph
K01	0	3.14648334214701	53.5430988894765	6.92755156002115	52.2607086197779	0.0396615547329455	0.290851401374934	3.90005288207298	3.2258064516129
K02	0	2.88207297726071	57.8662083553675	4.77260708619778	45.7165520888419	0.0528820729772607	0.35695399259651	1.9169751454257	13.9476467477525
K03	0	2.6969857218403	75.3701745108408	14.7540983606557	74.7223691168694	0.0264410364886304	0.0661025912215759	12.5462718138551	2.11528291909043
K04	0	10.3648863035431	55.367530407192	23.5986250661026	52.7630883130619	0.0264410364886304	2.181385510312	14.1723955579059	6.27974616604971
K05	0	13.088313061872	50.8593336858805	33.2892649391856	57.0729772607086	0	0.38339502908514	20.1480698043363	4.99735589635114
K06	0	8.67265996827076	58.0909571655209	17.9666842940243	51.5732416710735	0.0528820729772607	0.462718138551031	10.3781068217874	7.20518244315177
K07	0	3.51665785298784	60.9201480698043	6.10787942887361	62.2818614489688	0.185087255420412	0.185087255420412	2.81597038603913	1.15018508725542
K08	0	3.35801163405606	32.9323109465891	11.4754098360656	29.613960867266	0.105764145954521	0.171866737176097	9.96827075621365	4.36277102062401
K09	0	1.42781597038604	74.246430460074	5.76414595452142	74.246430460074	0.185087255420412	0	4.91803278688525	0.251189846641988
K10	0	5.72448439978847	85.7482813326282	8.1041776837652	88.088313061872	0.079323109465891	0.290851401374934	2.43257535695399	1.07086197778953
K11	0	23.4003172924379	47.0253833950291	32.6811210999471	56.5970386039133	0.449497620306716	1.53358011634056	10.1004759386568	2.24748810153358
K12	0	25.6874669487044	51.4806980433633	31.1739820200952	54.1644632469593	0.211528291909043	1.11052353252247	6.00211528291909	1.40137493389741
K13	0	19.2622950819672	38.3130618720254	22.355896351137	39.7144368059228	0.938656795346378	1.0444209413009	11.1184558434691	1.94341618191433
K14	0	23.2284505552618	38.3659439450026	27.4061343204654	41.1951348492861	0.475938656795346	1.15018508725542	3.80750925436277	3.42411422527763
K15	0	27.4457958751983	38.841882601798	33.6594394500265	33.6065573770492	0.251189846641988	1.4806980433633	5.2221047065045	3.60920148069804
